"","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency","variable","value","se"
"1","B.01.2","no","Fall","Facility2","Drain","Batch","Raw",3,"Yes","No","Stainless Steel",55400,"Wet","Perforated","Production","sample-1","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",2.90873055943957,NA
"2","B.17.3","yes","Winter","Facility2","Conveyor","Filling","Filling",2,"Yes","No","Rubber",132000,"Damp","Continuous","Production","sample-10","Rubber","Weekly",NA,NA,NA,NA,"Weekly","Shannon",2.04553969696901,NA
"3","NL.21.4","yes","Spring","Facility3","Forklift/Pallet Jack","Materials Handling","Warehouse",3,"Yes","No","Rubber, painted metal",400,"Dry","Continuous","Materials Handling","sample-100","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.37472870712408,NA
"4","NL.21.3","yes","Winter","Facility3","Forklift/Pallet Jack","Materials Handling","Warehouse",3,"Yes","No","Rubber, painted metal",3200,"Dry","Continuous","Materials Handling","sample-101","Rubber","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.77463434428079,NA
"5","NL.22.4","no","Spring","Facility3","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",4e+05,"Wet","Perforated","Production","sample-102","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.787560133234311,NA
"6","NL.23.4","no","Spring","Facility3","Drain","Filling","Filling",3,"None","No","Stainless Steel",400,"Wet","Perforated","Production","sample-103","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",1.20795033179666,NA
"7","NL.25.2","no","Fall","Facility3","Non-FPE Structure","Filling","Filling",3,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-104","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.238322693613296,NA
"8","NL.26.4","no","Spring","Facility3","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",17600,"Wet","Perforated","Production","sample-105","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",3.04905674437702,NA
"9","NL.03.2","yes","Fall","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",750,"Dry","Continuous","Storage","sample-106","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.26322443462778,NA
"10","NL.03.4","yes","Spring","Facility3","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",182000,"Dry","Continuous","Storage","sample-107","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.54761600243856,NA
