Sample ID,Location.Sample.date,Shannon,Fill_bins_YM,Fill_bins_Div,Chao1,Fill_bins_Chao1,Year,Season,Facility,Facility.1,Production.Area,Object,Shannon,YM,Log10YM,Temp,Surface Moisture,Humid,Sant,Risk Zone,Surface_Moisture2
sample-36,B.05.2,1.66,Low,Medium,98,Medium,2022,Fall,Facility2,Batavia,Raw,Door,1.66,0,0,Ambient (~70-75),Dry,Standard (30-60),Weekly,3,Dry
sample-288,B.05A.1,0.37,Low,Low,7,Low,2022,Summer,Facility2,Batavia,Raw,Door,0.37,0,0,Ambient/Warm (~75-80),Dry,Standard (30-60),Weekly,3,Dry
sample-289,B.05B.1,0,Low,Low,1,Low,2022,Summer,Facility2,Batavia,Raw,Door,0,0,0,Ambient/Warm (~75-80),Dry,Standard (30-60),Weekly,3,Dry
sample-37,B.06.2,1.06,Low,Medium,70,Medium,2022,Fall,Facility2,Batavia,Raw,Floor,1.06,0,0,Ambient (~70-75),Dry,no data,as needed,3,Dry
sample-291,B.08A.1,0,Low,Low,1,Low,2022,Summer,Facility2,Batavia,Raw,Floor,0,0,0,Ambient/Warm (~75-80),Dry,no data,No information,3,Dry
sample-2,B.12.3,1.4,Low,Medium,33,Low,2023,Winter,Facility2,Batavia,Raw,Door,1.4,0,0,Ambient (~70-75),Wet,Standard (30-60),Weekly,3,Wet
sample-3,B.13.2,2.14,High,Medium,113,High,2022,Fall,Facility2,Batavia,Post-Pasteurization,Floor,2.14,6500000,6.81,Ambient (~70-75),Dry,Standard/Dry(0-30),None,3,Dry
sample-253,B.13A.1,0,Medium,Low,1,Low,2022,Summer,Facility2,Batavia,Post-Pasteurization,Floor,0,1050,3.02,Ambient (~70-75),Dry,Standard/Dry(0-30),None,3,Dry
sample-254,B.13B.1,1,High,Medium,17,Low,2022,Summer,Facility2,Batavia,Post-Pasteurization,Floor,1,1.00E+05,5,Ambient (~70-75),Dry,Standard/Dry(0-30),None,3,Dry
sample-6,B.16.2,1.61,Medium,Medium,69,Medium,2022,Fall,Facility2,Batavia,Filling,Wall/Ceiling,1.61,3150,3.5,Ambient (~70-75),Damp,Standard (30-60),Weekly,3,Wet
sample-7,B.16.4,1.33,Medium,Medium,63,Medium,2023,Spring,Facility2,Batavia,Filling,Wall/Ceiling,1.33,1200,3.08,Cool (~60-68),Wet,Standard (30-60),Weekly,3,Wet
sample-258,B.16A.1,0.15,Medium,Low,12,Low,2022,Summer,Facility2,Batavia,Filling,Wall/Ceiling,0.15,1400,3.15,Ambient (~70-75),Damp,Standard (30-60),Weekly,3,Wet
sample-259,B.16B.1,0.33,Low,Low,23,Low,2022,Summer,Facility2,Batavia,Filling,Wall/Ceiling,0.33,700,2.85,Ambient (~70-75),Damp,Standard (30-60),Weekly,3,Wet
sample-11,B.18.4,1.31,Medium,Medium,43,Low,2023,Spring,Facility2,Batavia,Filling,Wall/Ceiling,1.31,9600,3.98,Cool (~60-68),Dry,Standard (30-60),Weekly,3,Dry
sample-262,B.18A.1,0.32,High,Low,18,Low,2022,Summer,Facility2,Batavia,Filling,Wall/Ceiling,0.32,8.00E+06,6.9,Ambient (~70-75),Dry,Standard (30-60),Weekly,3,Dry
sample-16,B.25.2,2.96,Low,High,83,Medium,2022,Fall,Facility2,Batavia,Warehouse,Fan/Vent,2.96,150,2.18,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-17,B.25.4,3.37,Medium,High,176,High,2023,Spring,Facility2,Batavia,Warehouse,Fan/Vent,3.37,2800,3.45,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-268,B.25B.1,0.65,Low,Low,2,Low,2022,Summer,Facility2,Batavia,Warehouse,Fan/Vent,0.65,300,2.48,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-18,B.26.2,1.65,Medium,Medium,105,High,2022,Fall,Facility2,Batavia,Warehouse,Door,1.65,2450,3.39,Cool (~60-68),Dry,Standard/Dry(0-30),No information,3,Dry
sample-19,B.26.4,3.98,Low,High,155,High,2023,Spring,Facility2,Batavia,Warehouse,Door,3.98,400,2.6,Cool (~60-68),Dry,Standard/Dry(0-30),No information,3,Dry
sample-269,B.26A.1,2.46,Medium,Medium,110,High,2022,Summer,Facility2,Batavia,Warehouse,Door,2.46,4800,3.68,Cool (~60-68),Dry,Standard/Dry(0-30),No information,3,Dry
sample-270,B.26B.1,0,Low,Low,1,Low,2022,Summer,Facility2,Batavia,Warehouse,Door,0,850,2.93,Cool (~60-68),Dry,Standard/Dry(0-30),No information,3,Dry
sample-23,B.28.2,3.17,Medium,High,131,High,2022,Fall,Facility2,Batavia,Warehouse,Floor,3.17,1900,3.28,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-24,B.28.4,3.32,Medium,High,115,High,2023,Spring,Facility2,Batavia,Warehouse,Floor,3.32,4400,3.64,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-273,B.28A.1,2.59,Low,High,83,Medium,2022,Summer,Facility2,Batavia,Warehouse,Floor,2.59,450,2.65,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-274,B.28B.1,0,Low,Low,0,Low,2022,Summer,Facility2,Batavia,Warehouse,Floor,0,850,2.93,Cool (~60-68),Dry,Standard/Dry(0-30),as needed,3,Dry
sample-31,B.33.2,1.3,High,Medium,42,Low,2022,Fall,Facility2,Batavia,Warehouse,Door,1.3,105000,5.02,Cold(~55-40),Dry,Standard/Dry(0-30),None,3,Dry
sample-32,B.33.4,2.96,Low,High,142,High,2023,Spring,Facility2,Batavia,Warehouse,Door,2.96,800,2.9,Cold(~55-40),Dry,Standard/Dry(0-30),None,3,Dry
sample-282,B.33A.1,2.25,Low,Medium,29,Low,2022,Summer,Facility2,Batavia,Warehouse,Door,2.25,0,0,Cold(~55-40),Dry,Standard/Dry(0-30),None,3,Dry
sample-283,B.33B.1,2.36,Medium,Medium,30,Low,2022,Summer,Facility2,Batavia,Warehouse,Door,2.36,5000,3.7,Cold(~55-40),Dry,Standard/Dry(0-30),None,3,Dry
sample-64,B.E5.2,2.71,Medium,High,88,Medium,2022,Fall,Facility2,Batavia,Warehouse,Door,2.71,1900,3.28,Cold(~55-40),Dry,Standard/Dry(0-30),No information,3,Dry
sample-43,B.E5.4,3.51,Medium,High,118,High,2023,Spring,Facility2,Batavia,Warehouse,Door,3.51,6000,3.78,Cold(~55-40),Dry,Standard/Dry(0-30),No information,3,Dry
sample-71,B.E7.2,3.36,Low,High,87,Medium,2022,Fall,Facility2,Batavia,Warehouse,Floor,3.36,200,2.3,Cold(~55-40),Dry,Standard/Dry(0-30),No information,3,Dry
sample-292,NL.01.1,2.01,Medium,Medium,21,Low,2022,Summer,Facility3,North Lawrence,Raw,Floor,2.01,1500,3.18,Ambient (~70-75),Dry,Humid(60-80),Weekly,3,Dry
sample-78,NL.01.2,1.39,Medium,Medium,65,Medium,2022,Fall,Facility3,North Lawrence,Raw,Floor,1.39,36600,4.56,Ambient (~70-75),Dry,Humid(60-80),Weekly,3,Dry
sample-80,NL.01.3,1.31,High,Medium,34,Low,2023,Winter,Facility3,North Lawrence,Raw,Floor,1.31,253000,5.4,Cool (~60-68),Dry,Humid(60-80),Weekly,3,Dry
sample-79,NL.01.4,0.35,Medium,Low,49,Low,2023,Spring,Facility3,North Lawrence,Raw,Floor,0.35,5600,3.75,Cool (~60-68),Dry,Humid(60-80),Weekly,3,Dry
sample-135,NL.05.4,2.59,Medium,High,139,High,2023,Spring,Facility3,North Lawrence,Warehouse,Floor,2.59,2800,3.45,Cool (~60-68),Dry,Humid(60-80),None,3,Dry
sample-325,NL.07.1,2.18,Low,Medium,62,Medium,2022,Summer,Facility3,North Lawrence,Warehouse,Door,2.18,0,0,Ambient/Warm (~75-80),Dry,Humid(60-80),None,3,Dry
