"","High","Medium","Low"
"Door-Filling",-0.941783691586943,0.329055090642903,0.400776827832772
"Door-Post-Pasteurization",-0.660225291773525,0.230679820822973,0.280959418235511
"Door-Raw",-0.941783691586943,-1.73186889812054,2.47436128488059
"Door-Warehouse",-1.42363534258337,-0.685777185711802,1.79628677810418
"Fan/Vent-Raw",-0.812085438005565,-1.49336363037732,2.13360327404944
"Fan/Vent-Warehouse",-1.76843390901838,0.320198503880348,1.05207176404237
"Floor-Filling",1.21041303491813,0.230679820822973,-1.17270018046126
"Floor-Post-Pasteurization",1.37436854187255,-0.606566323920155,-0.457719392481377
"Floor-Raw",1.52512737616027,-0.267994515224893,-0.915524689226535
"Floor-Warehouse",-1.70680529684776,2.03468712356992,-0.720840287355531
"Wall/Ceiling-Filling",-0.0646448584094724,1.25534111773491,-1.21281775264525
"Wall/Ceiling-Post-Pasteurization",2.48539276115007,-0.267994515224893,-1.66174001811666
"Wall/Ceiling-Warehouse",3.23224292047362,-0.442222439202071,-2.06681368498125
