"","Value","Groups","Rank","Taxa"
"1",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"2",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"3",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"4",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"5",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"6",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"7",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"8",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"9",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"10",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"11",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"12",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"13",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"14",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"15",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"16",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"17",0,"Facility3",29,"g__Plectosphaerella padj = 1.0828e-14"
"18",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"19",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"20",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"21",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"22",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"23",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"24",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"25",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"26",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"27",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"28",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"29",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"30",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"31",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"32",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"33",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"34",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"35",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"36",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"37",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"38",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"39",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"40",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"41",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"42",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"43",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"44",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"45",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"46",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"47",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"48",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"49",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"50",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"51",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"52",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"53",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"54",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"55",0,"Facility1",29,"g__Plectosphaerella padj = 1.0828e-14"
"56",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"57",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"58",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
"59",0,"Facility2",29,"g__Plectosphaerella padj = 1.0828e-14"
