"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"g__Phaeoisaria",2.31471420988799,-1.42341495983469,0.00519003780411507,0.0123572328669406,"Door"
"g__Trichoderma",1721.35179965312,-3.49199231500354,1.68154833638692e-05,6.30580626145096e-05,"Door"
"g__Plectosphaerella",11.1640852708543,-4.17639209454194,1.77551924547808e-08,1.56663462836301e-07,"Door"
"g__Sarocladium",239.869966370434,5.2632928607525,2.79905989325777e-11,5.99798548555237e-10,"FanVent"
"g__Clonostachys",3.11237882767184,-2.46994952682856,3.19211370964806e-06,1.45096077711276e-05,"Door"
"g__Stachybotrys",3.52778579963339,-2.42690999704977,2.66742432342037e-05,9.52651544078703e-05,"Door"
"g__Eucasphaeria",3.48655354701841,-2.75699732870615,1.32098065875985e-07,7.92588395255907e-07,"Door"
"g__Cosmospora",3.39732006656527,-1.52665685766706,0.00406917175044672,0.0100061600420821,"Door"
"g__Fusarium",4526.76950656612,2.43668325013603,0.00251686813451617,0.00662333719609518,"FanVent"
"g__Acremonium",11.4087067817727,-1.59820493438078,0.0162083845947367,0.0321000937134332,"Door"
"g__Chaetomium",85.4050126188637,-3.51645004305904,3.32511855810943e-06,1.46696406975416e-05,"Door"
"g__Pleurostoma",1.50066644985798,1.03377109784246,0.00768341438862531,0.0169487082102029,"FanVent"
"g__Cytospora",2.31245439963304,-1.75892762004229,0.000473055822421983,0.00141916746726595,"Door"
"g__Lasiobolidium",10.5190051118995,-1.76822789683292,0.00897667855387329,0.0195145185953767,"Door"
"g__Thielaviopsis",3.13601193806381,-1.97236269690698,8.35531225400572e-05,0.000284840190477468,"Door"
"g__Nigrospora",2.43989908104167,-1.41017057851308,0.00259901372248817,0.00672158721333148,"Door"
"g__Coniochaeta",239.328100739849,-3.78691338105501,1.52741107500601e-05,5.87465798079236e-05,"Door"
"g__Ophiostoma",195.899064950666,-5.5294297135657,1.63474672826072e-10,2.72457788043453e-09,"Door"
"g__Meyerozyma",43.567683866097,-3.85750222369548,5.44175056326561e-07,2.55082057653075e-06,"Door"
"g__Cephaloascus",223.624879709544,-4.68749099278375,1.45700447708721e-08,1.36594169726926e-07,"Door"
"g__Pichia",75.950575052659,-2.42751032575315,0.00198892758422866,0.00532748460061247,"Door"
"g__Wickerhamomyces",32.44374655775,-3.90904628013257,2.01326538281086e-07,1.04134416352286e-06,"Door"
"g__Hanseniaspora",3.2186136277057,-2.36377294323399,1.8756612870672e-05,6.86217544048976e-05,"Door"
"g__Kazachstania",11.425936055094,-4.14764562690839,3.83852228566413e-10,4.79815285708016e-09,"Door"
"g__Debaryomyces",469.348424633284,6.32991040286344,1.40916716324672e-13,5.28437686217519e-12,"FanVent"
"g__Wickerhamiella",120.715425793461,-2.22047927554226,0.00927414736381503,0.0198731729224608,"Door"
"g__Yarrowia",1895.18539420413,-4.64673124366989,3.53937111402639e-08,2.79424035317873e-07,"Door"
"g__Syncephalastrum",13.6351401549549,-3.85962647051643,1.29503351019161e-09,1.29503351019161e-08,"Door"
"g__Galactomyces",5.52607797903284,-1.52074520319238,0.0197792789815334,0.0380370749644874,"Door"
"g__Wallemia",64.5439465844819,-4.44910159493877,1.8666470124114e-07,9.99989470934677e-07,"Door"
"g__Kwoniella",2.52602558029073,-1.90812480369011,0.000141959292880657,0.000462910737654316,"Door"
"g__Hannaella",4.30405659735445,-1.53854204200385,0.00350321419714163,0.00875803549285408,"Door"
"g__Tremellales_gen_Incertae_sedis",3.7244951512536,-2.65328224066231,4.24030163537417e-06,1.81727212944607e-05,"Door"
"g__Papiliotrema",152.199118758125,-2.65811997488755,0.000606867176982398,0.00178490346171293,"Door"
"g__Bullera",2.67311639299256,-1.8278213810674,0.000653750009753306,0.00188581733582684,"Door"
"g__Symmetrospora",184.671383863441,-5.29113097316188,1.71025805597764e-11,4.27564513994411e-10,"Door"
"g__Curvibasidium",80.7850072961675,-7.07267738212436,9.06862980846852e-18,1.36029447127028e-15,"Door"
"g__Rhodotorula",915.02017779719,-2.57113457401769,0.00142532889531344,0.00395924693142622,"Door"
"g__Sporidiobolus",385.241161759446,-5.66427584613357,1.96052156587184e-10,2.94078234880776e-09,"Door"
"g__Rhodosporidiobolus",919.851481664859,-5.59047852137442,6.98947664677115e-10,8.06478074627441e-09,"Door"
