"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"g__Plectosphaerella",13.2225749241159,4.4005626124327,1.01058816939558e-15,1.08277303863812e-14,"Facility2"
"g__Chordomyces",12.8929895489773,-3.85892305831198,1.32087525578615e-12,9.9065644183961e-12,"Facility1"
"g__Sarocladium",178.196074122685,2.44830562974483,6.52137944003251e-05,0.000152844830625762,"Facility2"
"g__Clonostachys",2.47926967645755,1.54041034147222,4.28086487816573e-05,0.000101925354242041,"Facility2"
"g__Stachybotrys",2.32765232416673,1.15642285667403,0.00363317378906565,0.0072663475781313,"Facility2"
"g__Akanthomyces",1.77995020154126,1.09076653177361,0.00179131848022957,0.00373191350047827,"Facility2"
"g__Lecanicillium",4.70633305848346,2.90275207240323,2.90834763512596e-11,1.74500858107558e-10,"Facility2"
"g__Cosmospora",2.24137551401811,-0.971321631294621,0.00810169851776513,0.0155801894572406,"Facility1"
"g__Gibberella",2.15249135524598,1.51267463445643,2.54723309106827e-05,6.16266070419744e-05,"Facility2"
"g__Fusarium",4526.76950656612,3.19337302346254,1.22391909631694e-07,4.83125959072474e-07,"Facility2"
"g__Acremonium",12.8938417786045,2.89855286048653,1.87445442469228e-08,8.03337610582405e-08,"Facility2"
"g__Scopulariopsis",7.129762087671,-1.12786717072522,0.0166081225056182,0.0286346939752038,"Facility1"
"g__Chaetomium",157.516037549545,-5.20020697627757,8.10423235533187e-17,1.10512259390889e-15,"Facility1"
"g__Pleurostoma",2.39353645058835,1.7823711143357,2.18323867892349e-06,6.54971603677048e-06,"Facility2"
"g__Lasiobolidium",15.3358556505364,-3.98418737333918,6.233454199765e-13,4.92114805244605e-12,"Facility1"
"g__Huntiella",3.99813601153574,2.79552545781529,3.05452207038319e-11,1.76222427137492e-10,"Facility2"
"g__Ophiostoma",148.239915114943,-1.47718408258906,0.0267225605914902,0.0440481767991597,"Facility1"
"g__Issatchenkia",22.4729423299327,-3.41979033252381,7.96057079830842e-10,3.85188909595569e-09,"Facility1"
"g__Meyerozyma",48.0556356727486,-1.49168161684743,0.0128187924138679,0.0228907007390499,"Facility1"
"g__Kurtzmaniella",13.1698722727882,-4.69171004518324,3.37589513928942e-22,6.32980338616766e-21,"Facility1"
"g__Hyphopichia",2.47187508059833,1.68373027057391,3.96751150877502e-06,1.12288061569104e-05,"Facility2"
"g__Pichia",65.7541002819692,-2.44001324270146,0.000112711523445178,0.000256162553284496,"Facility1"
