"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"g__Chordomyces",26.0970353159785,-4.89025592587242,9.57083507388627e-11,1.43562526108294e-09,"Fall"
"g__Sarocladium",53.1110911420151,-4.07440167522268,5.52186690058801e-07,4.35936860572737e-06,"Fall"
"g__Stachybotrys",19.8518357540831,1.63314755039287,0.01505810175742,0.0424584332151139,"Spring"
"g__Lecanicillium",2.09007032841315,2.24566390859008,2.59293925009614e-07,2.59293925009614e-06,"Spring"
"g__Cosmospora",3.45734792608711,1.85251719005343,0.000125807331691997,0.000673967848349983,"Spring"
"g__Acremonium",17.840945033174,-5.06698804897742,2.14153680702183e-14,6.42461042106549e-13,"Fall"
"g__Petriella",1.70898521362913,-1.18546522699257,0.00794836523485723,0.0253671230899699,"Fall"
"g__Microascus",1.51990797757569,1.07938792415168,0.00549163938509426,0.0183054646169809,"Spring"
"g__Chaetomium",90.8417815883162,2.25836246647269,0.00269193536862442,0.0106260606656227,"Spring"
"g__Botryotrichum",2.10615367067819,-1.85156975754006,0.000123860334005664,0.000673967848349983,"Fall"
"g__Pleurostoma",2.39353645058835,2.36592930498209,4.87317630824957e-07,4.06098025687464e-06,"Spring"
"g__Huntiella",11.0698971884475,-4.98093572021548,2.75480572521302e-16,2.926825200444e-14,"Fall"
"g__Leptographium",1.5392041076048,1.14098920890891,0.00336525063044998,0.0126196898641874,"Spring"
"g__Issatchenkia",22.4729423299327,-2.09549372420932,0.00351798064689652,0.0128236820901075,"Fall"
"g__Kurtzmaniella",29.0893613188339,-3.22633291073144,8.77237577120598e-06,6.3667389089727e-05,"Fall"
"g__Pichia",48.3538441154191,2.23963470319537,0.00323528335388523,0.0124433975149432,"Spring"
"g__Cyberlindnera",78.6876561861417,5.37481228441973,9.72611044848226e-14,2.43152761212056e-12,"Spring"
"g__Hanseniaspora",5.40434271176,-3.80447217419667,1.76564379738787e-11,3.31058212010226e-10,"Fall"
"g__Kluyveromyces",2.04411830559309,-1.74659881364278,0.000242952353793518,0.00120544953864132,"Fall"
"g__Candida",2385.01651399967,2.6219660750083,0.00121829993434275,0.00522128543289751,"Spring"
"g__Wallemia",93.0535439676195,-2.86440865242217,0.000249126237985872,0.00120544953864132,"Fall"
"g__Kwoniella",2.52602558029073,-2.16075836952524,1.03058286203866e-05,7.02670133208181e-05,"Fall"
"g__Hannaella",4.30405659735445,2.66530153461245,2.3054761048341e-08,2.4701529694651e-07,"Spring"
"g__Bullera",6.05306192401457,-2.41562482048021,7.92614519461605e-05,0.000475568711676963,"Fall"
"g__Vishniacozyma",4517.71330340113,-2.85641216126872,0.00140845613499449,0.0058685672291437,"Fall"
"g__Malassezia",77.906005550368,-4.673088108463,2.0052753780997e-10,2.7344664246814e-09,"Fall"
"g__Curvibasidium",44.7556946541456,-1.68545731612565,0.0118137596348445,0.0369179988588891,"Fall"
"g__Effuseotrichosporon",5.83824230922329,-3.90267426447568,4.70433767469024e-12,1.00807235886219e-10,"Fall"
"g__Cryptococcus",472.70118759339,2.50411124952194,0.00482615511255618,0.0164528015200779,"Spring"
"g__Cystofilobasidium",1360.387949783,2.27963798776529,0.0062048872873526,0.0202333281109324,"Spring"
"g__Sistotrema",3.58222400790209,2.03123421887201,0.000142766958578284,0.000738449785749747,"Spring"
