"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"g__Phaeoisaria",3.4617821405273,1.99646882628643,0.00226512116188317,0.00523577186599225,"Post-Pasteurization "
"g__Trichoderma",1721.35179965312,3.22701162611718,0.000305898556508315,0.000880238703421886,"Post-Pasteurization "
"g__Plectosphaerella",9.73772682114055,2.59359730632252,0.002247163214889,0.00523577186599225,"Post-Pasteurization "
"g__Chordomyces",577.461830714452,-8.74680311313253,4.46365845186653e-25,6.2937584171318e-23,"Filling"
"g__Sarocladium",119.529587056685,-5.47092638329833,3.84800120740494e-10,6.78210212805121e-09,"Filling"
"g__Clonostachys",3.11237882767184,1.79641662751579,0.00616515251018183,0.0114379803149426,"Post-Pasteurization "
"g__Stachybotrys",3.97807302106727,1.96430070626226,0.00603784409540618,0.0113511468993636,"Post-Pasteurization "
"g__Akanthomyces",2.92905471970374,1.68557414649357,0.00899500223392401,0.0158536914372911,"Post-Pasteurization "
"g__Eucasphaeria",3.48655354701841,2.00381326735664,0.00257157837561303,0.00550048413874278,"Post-Pasteurization "
"g__Cosmospora",4.24913857300919,2.17682985432546,0.00239630293040583,0.00536315417757494,"Post-Pasteurization "
"g__Fusicolla",51.9039772716932,6.13072645970961,2.41437903566314e-11,8.51068610071257e-10,"Post-Pasteurization "
"g__Fusarium",4526.76950656612,-3.99045935357608,4.09006828204057e-06,2.30679851107088e-05,"Filling"
"g__Acremonium",14.0305840656528,3.73232877711029,9.58649954952841e-06,4.66102219477071e-05,"Post-Pasteurization "
"g__Petriella",2.89665401430809,1.68204797815832,0.00862846928180492,0.0154001793510695,"Post-Pasteurization "
"g__Scopulariopsis",14.4752445886464,3.92316431260943,5.71886591710236e-06,2.98651886782012e-05,"Post-Pasteurization "
"g__Chaetomium",85.4050126188637,5.51906743630101,8.58295020947575e-10,1.21019597953608e-08,"Post-Pasteurization "
"g__Pleurostoma",2.39353645058835,1.32069506297921,0.0320216467228575,0.049615958109043,"Post-Pasteurization "
"g__Phialemonium",5.45082137026169,2.67669192359545,0.000258505027967596,0.000792374107465893,"Post-Pasteurization "
"g__Lasiobolidium",20.7589639830709,4.77498711869641,3.86846238993656e-08,3.63635464654037e-07,"Post-Pasteurization "
"g__Ceratocystidaceae_gen_Incertae_sedis",4.35066746733097,2.38771611162203,0.000511720321193414,0.00133615861644947,"Post-Pasteurization "
