"","Value","Groups","Rank","Taxa"
"1",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"2",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"3",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"4",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"5",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"6",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"7",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"8",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"9",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"10",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"11",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"12",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"13",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"14",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"15",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"16",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"17",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"18",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"19",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"20",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"21",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"22",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"23",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"24",14,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"25",10,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"26",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"27",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"28",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"29",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"30",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"31",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"32",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"33",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"34",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"35",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"36",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"37",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"38",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"39",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"40",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"41",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"42",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"43",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"44",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"45",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"46",380,"Door",36,"g__Phaeoisaria padj = 0.012357"
"47",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"48",16,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"49",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"50",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"51",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"52",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"53",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"54",85,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"55",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"56",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"57",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"58",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"59",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"60",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"61",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"62",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"63",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"64",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"65",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"66",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"67",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"68",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"69",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"70",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"71",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"72",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"73",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"74",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"75",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"76",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"77",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"78",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"79",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"80",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"81",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"82",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"83",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"84",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"85",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"86",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"87",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"88",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"89",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"90",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"91",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"92",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"93",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"94",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"95",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"96",0,"FanVent",36,"g__Phaeoisaria padj = 0.012357"
"97",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"98",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"99",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"100",63,"Door",36,"g__Phaeoisaria padj = 0.012357"
"101",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"102",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"103",0,"Door",36,"g__Phaeoisaria padj = 0.012357"
"104",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"105",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"106",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"107",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"108",29,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"109",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"110",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"111",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"112",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"113",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"114",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"115",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"116",0,"WallCeiling",36,"g__Phaeoisaria padj = 0.012357"
"117",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"118",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"119",0,"Floor",36,"g__Phaeoisaria padj = 0.012357"
"120",271,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"121",277,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"122",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"123",31,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"124",4307,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"125",5473,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"126",5627,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"127",847,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"128",243,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"129",3796,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"130",23,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"131",4378,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"132",175,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"133",39,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"134",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"135",165,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"136",48,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"137",15730,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"138",2525,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"139",2768,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"140",165,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"141",10,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"142",48,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"143",12789,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"144",162,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"145",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"146",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"147",57,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"148",35,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"149",189,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"150",197,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"151",160,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"152",77,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"153",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"154",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"155",2133,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"156",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"157",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"158",0,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"159",5,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"160",2267,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"161",11177,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"162",2082,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"163",6357,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"164",5391,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"165",2052,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"166",14341,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"167",3481,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"168",565,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"169",1282,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"170",3660,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"171",4979,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"172",14062,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"173",2504,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"174",243,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"175",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"176",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"177",0,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"178",33,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"179",46,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"180",0,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"181",192,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"182",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"183",6770,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"184",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"185",325,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"186",31,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"187",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"188",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"189",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"190",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"191",1316,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"192",5,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"193",1683,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"194",169,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"195",396,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"196",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"197",966,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"198",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"199",695,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"200",1258,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"201",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"202",828,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"203",3889,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"204",1163,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"205",0,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"206",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"207",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"208",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"209",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"210",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"211",19,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"212",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"213",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"214",475,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"215",0,"FanVent",5,"g__Trichoderma padj = 6.3058e-05"
"216",0,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"217",196,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"218",205,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"219",3401,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"220",112,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"221",80,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"222",5838,"Door",5,"g__Trichoderma padj = 6.3058e-05"
"223",54,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"224",2296,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"225",58,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"226",38,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"227",516,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"228",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"229",602,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"230",60,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"231",24,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"232",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"233",0,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"234",0,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"235",0,"WallCeiling",5,"g__Trichoderma padj = 6.3058e-05"
"236",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"237",10,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"238",53,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"239",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"240",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"241",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"242",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"243",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"244",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"245",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"246",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"247",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"248",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
