"","Value","Groups","Rank","Taxa"
"1",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"2",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"3",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"4",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"5",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"6",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"7",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"8",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"9",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"10",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"11",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"12",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"13",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"14",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"15",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"16",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"17",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"18",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"19",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"20",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"21",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"22",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"23",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"24",14,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"25",10,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"26",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"27",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"28",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"29",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"30",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"31",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"32",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"33",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"34",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"35",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"36",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"37",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"38",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"39",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"40",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"41",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"42",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"43",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"44",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"45",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"46",380,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"47",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"48",16,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"49",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"50",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"51",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"52",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"53",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"54",85,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"55",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"56",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"57",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"58",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"59",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"60",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"61",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"62",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"63",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"64",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"65",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"66",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"67",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"68",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"69",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"70",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"71",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"72",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"73",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"74",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"75",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"76",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"77",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"78",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"79",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"80",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"81",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"82",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"83",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"84",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"85",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"86",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"87",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"88",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"89",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"90",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"91",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"92",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"93",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"94",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"95",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"96",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"97",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"98",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"99",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"100",63,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"101",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"102",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"103",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"104",0,"Filling",91,"g__Phaeoisaria padj = 0.0052358"
"105",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"106",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"107",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"108",29,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"109",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"110",0,"Warehouse",91,"g__Phaeoisaria padj = 0.0052358"
"111",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"112",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"113",0,"Raw",91,"g__Phaeoisaria padj = 0.0052358"
"114",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"115",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"116",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"117",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
"118",0,"Post-Pasteurization ",91,"g__Phaeoisaria padj = 0.0052358"
