"","Value","Groups","Rank","Taxa"
"1",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"2",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"3",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"4",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"5",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"6",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"7",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"8",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"9",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"10",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"11",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"12",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"13",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"14",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"15",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"16",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"17",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"18",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"19",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"20",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"21",17,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"22",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"23",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"24",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"25",16,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"26",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"27",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"28",190,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"29",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"30",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"31",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"32",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"33",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"34",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"35",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"36",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"37",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"38",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"39",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"40",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"41",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"42",81,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"43",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"44",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"45",145,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"46",1007,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"47",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"48",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"49",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"50",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"51",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"52",207,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"53",0,"Winter",47,"g__Chordomyces padj = 1.4356e-09"
"54",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"55",331,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"56",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"57",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"58",102067,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"59",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"60",37,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"61",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"62",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"63",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"64",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"65",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"66",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"67",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"68",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"69",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"70",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"71",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"72",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"73",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"74",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"75",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"76",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"77",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"78",0,"Fall",47,"g__Chordomyces padj = 1.4356e-09"
"79",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"80",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"81",0,"Spring",47,"g__Chordomyces padj = 1.4356e-09"
"82",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"83",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"84",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"85",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"86",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"87",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"88",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"89",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"90",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"91",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"92",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"93",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"94",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"95",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
"96",0,"Summer",47,"g__Chordomyces padj = 1.4356e-09"
