"","Genus","Filling","Post-Pasteurization ","Raw","Warehouse"
"1","Acremonium",0,1.55181351393901,0.00193512589178697,0.0414399043655724
"2","Acrophialophora",0,0.00985771586066518,0,0.0176360023921273
"3","Akanthomyces",0,0,0,0.00372766588026014
"4","Alternaria",0.795075757422895,0.0594055603862393,0.182067291186866,1.87789139341425
"5","Apiotrichum",0.282755293310636,7.22078711639241,0.702208235574065,1.84485574021453
"6","Aspergillus",1.28465086360397,0.389656775962715,0.80667896763087,7.60979188792608
"7","Aureobasidium",3.84317204648019,1.25613104213447,6.51834463585809,2.11235034959895
"8","Bisifusarium",0.0900536728873318,0.0173711877890344,0.00634158190305014,0.00323594592065409
"9","Bjerkandera",0.014545138029924,0,0,0.00232442073154814
"10","Botryotrichum",0,0.0159322501122565,0,0.0012586879521642
"11","Bullera",0.0110975077145578,0,0,0.00663547957773331
"12","Cadophora",0,0,0,0.0120014343592745
"13","Candida",0.594360517516162,13.0771786016304,13.976423775476,0.80545475536336
"14","Capnodiales_gen_Incertae_sedis",0,0.000910329833918354,0.00402822124412798,0.000499087570875634
"15","Cephaloascus",0.213399953259292,0.0359089102946623,0.0366912347464176,0.310003145334354
"16","Ceratocystidaceae_gen_Incertae_sedis",0.010651164069157,0.0166115056343699,0,0.0140350712168375
"17","Chaetomium",0.157021216286867,0.0506263254588524,0.348177329618896,0.810469612828487
"18","Chaetothyriales_gen_Incertae_sedis",0,0.0118952717911362,0.00252751136886461,0.477869024842118
"19","Chordomyces",15.7715475598051,0,0.0888304607145142,0.0266903499565278
"20","Citeromyces",0,0.00567371496803377,0.00132429032227551,0.00750980013318322
"21","Cladosporium",0.895409846876904,1.96111215190492,7.03057931808257,8.9019083750401
"22","Clavispora",0.326584263204347,0.0290648582765156,0.0255425690272374,0.0144237192232485
"23","Cleistothelebolus",0,0.001660013226557,0.00306829898698533,0.00215329962839826
"24","Clonostachys",0,0,0,0.0807816914393582
"25","Coniochaeta",0.00504509346793252,0.00709747022343212,0.0809343727442792,0.47696726246166
"26","Coniosporium",0.0734352893619888,0.036308293071948,0,0.0474221876027777
"27","Coniothyrium",0.0242059801510963,0.0105702249653245,0,0.0550354179081606
"28","Cosmospora",0,0.0100097452327089,0,0.010933849491846
"29","Cryptococcus",0.0151411956552542,0.534225650517874,0.00297063810593228,0.593481060059568
"30","Curvibasidium",0,0.0988602371187075,0.00200038864693712,0.106541554693691
"31","Curvularia",0,0,0,0.00969431708745071
"32","Cutaneotrichosporon",0.0420631340793722,8.05335771037191,0.102227995837386,0.148447461857486
"33","Cyberlindnera",0.0102391355868635,0.140414261404858,0.0153098807805901,0.0486167963824354
"34","Cyphellophora",0.508537054052858,1.18492858275648,0.0327012939667452,0.0208720433355333
"35","Cystobasidium",0.389541321891968,2.6581546831291,0.61489698702926,1.69547088711219
"36","Cystofilobasidiaceae_gen_Incertae_sedis",0,0,0,0.00107449735866651
"37","Cystofilobasidium",0.850822787855872,0.162250455070452,0.12186975326153,3.39153986009704
"38","Cytospora",0,0.00257810365007915,0,0.0106862577913928
"39","Debaryomyces",0.0266357409263602,0.0319204355800387,0.0650076879893608,4.19492549389207
"40","Dictyosporiaceae_gen_Incertae_sedis",0,0.416138035362456,0.0108308029928961,0.0567630241515063
"41","Didymella",4.35265393129468,31.0700193839662,3.39546729473053,1.59108905752495
"42","Dioszegia",0.00411681737798111,0.00682146951234318,0,0.60837492674457
"43","Diplodia",0,0,0,0.010116891830274
"44","Dipodascus",0,0.00571479642434211,0,0.00267946381649307
"45","Diutina",0.00992867326304347,0,0.0216458696986059,0.00560246774334569
"46","Effuseotrichosporon",0.000498521054205856,0.0039014598681032,0,0.00333133902513801
"47","Eucasphaeria",0,0.00168678763343695,0,0.039492622721017
"48","Exophiala",13.5604282803722,0.561984276257077,0.940738214541717,2.80310319714657
"49","Filobasidium",0.0843276404385319,0.393369903896542,1.26421271253827,1.12237088523594
"50","Fomitopsis",0,0.00300778759175901,0.00603873416629524,0.00233148905249959
"51","Fungi_gen_Incertae_sedis",0.0735523529680151,3.8000257127401,4.13948251047108,0.928050645680295
"52","Fusarium",29.7323676092495,11.1227562441901,2.53374061368781,3.25581515111326
"53","Fusicolla",0,0.0327584331555334,0.000276743832071843,0.301377421386408
"54","Galactomyces",0.00554875385727889,0.0776032998560769,0.0320062183509939,0.00624453941605743
"55","Geotrichum",0.199755634676171,0.4188986718191,3.38211048337664,0.546251058397904
"56","Gibberella",0,0.00949199599153185,0,0.00837217839240382
"57","Gibellulopsis",0,0.024377864898672,0,0.0252498214075918
"58","Hannaella",0,0.101555631308992,0,0.00656845815989953
"59","Hanseniaspora",0,0,0,0.0223716874837728
"60","Hormonema",0.0688315479799681,0,0,0.00960500905854196
"61","Huntiella",0.0372303484617422,0,0.000945921658768221,0.0479184803928386
"62","Hyphopichia",0,0.000372516639315349,0,0.0329260762543353
"63","Inopinatum",0,0.0204852996335728,0,0.000479408065273645
"64","Iodophanus",0.00218840641427835,0,0.00686165853632251,0.00653844942867694
"65","Irpex",0,0,0,0.0165404428142449
"66","Issatchenkia",0.0266065376724877,0.000299218510301518,0.0467842650350866,0.0162247783002175
"67","Kazachstania",0.000473168954438561,0.100692206254713,0.00200744763070993,0.123112055905077
"68","Kluyveromyces",0,0.0518403405534229,0.0799855280536681,0.00113875569046296
"69","Knufia",0,0.000240746458469129,0,0.046579850198663
"70","Kurtzmaniella",0.00709007721537217,0.00126424248170799,0.0615137493269082,0.0381103867026019
"71","Kwoniella",0,0,0,0.00892023033759287
"72","Lasiobolidium",0,0.00186578505313575,0.0108050531152823,0.129102962493813
"73","Lecanicillium",0.00418029557552935,0.261244005425015,0,0.00502676441867472
"74","Leptographium",0,0,0,0.000390568288181546
"75","Leucosporidium",0.0115196268429032,0.0490493089817941,0.0232740782144988,1.25069622053684
"76","Malassezia",0.0241250937998052,0.00946864732010018,0.352195888325136,0.0184076890543842
"77","Meyerozyma",1.16738621474751,1.97990294373824,0.0325352185116014,0.0721776724876608
"78","Microascus",0,0,0,0.00199843680461606
"79","Mortierella",0,0,0,0.0289913991050947
"80","Mrakia",0.00526831771162603,0.0133891794586502,0.0110483501224425,0.153017548916902
"81","Mucor",6.30219148360013,0.224710981971951,2.61213822620281,3.09409262337716
"82","Naganishia",0.157935754686119,0.374679833384633,0.87238474258444,3.92708941849511
"83","Nakazawaea",0,0,0,0.00422304847870998
"84","Neoascochyta",0,0.140441718979482,0,0.0334566796740347
"85","Neocucurbitaria",0.000882893063992089,0.00120682059680551,0.00258160526226532,0.0873305315458097
"86","Neophaeotheca",0,0.211179385298423,0,0.00145710244869833
"87","Neopyrenochaeta",0,0,0.000736064131260309,0.0463815523643719
