"","Genus","mean","sum_total"
"1","g__Penicillium",23.1272727272727,1272
"2","g__Cladosporium",47.6,714
"3","g__Aspergillus",13.7843137254902,703
"4","g__Candida",15.046511627907,647
"5","g__Fusarium",13.8372093023256,595
"6","g__Vishniacozyma",17.6969696969697,584
"7","g__Naganishia",65.25,522
"8","g__Trichoderma",15.8214285714286,443
"9","g__Rhodotorula",42.2,422
"10","g__Rhodosporidiobolus",75.8,379
"11","g__Aureobasidium",42.25,338
"12","g__Cystofilobasidium",33.7,337
"13","g__Mucor",20.9333333333333,314
"14","g__Talaromyces",10.4666666666667,314
"15","g__Cystobasidium",25.8333333333333,310
"16","g__Exophiala",11,297
"17","g__Papiliotrema",20.7692307692308,270
"18","g__Filobasidium",33.375,267
"19","g__Apiotrichum",37.7142857142857,264
"20","g__Yarrowia",26.2,262
"21","g__Didymella",130.5,261
"22","g__Geotrichum",81.6666666666667,245
"23","g__Cutaneotrichosporon",20.7272727272727,228
"24","g__Alternaria",45.4,227
"25","g__Piskurozyma",35.5,213
"26","g__Fungi_gen_Incertae_sedis",1.72033898305085,203
"27","g__Rhizopus",32.8333333333333,197
"28","g__Symmetrospora",17.1,171
"29","g__Coniochaeta",10.625,170
"30","g__Trichosporon",50.6666666666667,152
"31","g__Wickerhamiella",21.7142857142857,152
"32","g__Tausonia",75.5,151
"33","g__Cryptococcus",13.4545454545455,148
"34","g__Ophiostoma",24,144
"35","g__Sporidiobolus",142,142
"36","g__Cephaloascus",69.5,139
"37","g__Pichia",8,136
"38","g__Mrakia",11,121
"39","g__Chaetomium",18.5,111
"40","g__Paecilomyces",13.875,111
"41","g__Leucosporidium",25,100
"42","g__Malassezia",14.2857142857143,100
"43","g__Rozellomycota_gen_Incertae_sedis",3.33333333333333,100
"44","g__Cyberlindnera",7.75,93
"45","g__Debaryomyces",46,92
"46","g__Clavispora",91,91
"47","g__Fusicolla",13,91
"48","g__Wallemia",7.33333333333333,88
"49","g__Sarocladium",4.36842105263158,83
"50","g__Wickerhamomyces",11.2857142857143,79
"51","g__Neocucurbitaria",19.5,78
"52","g__Pseudopithomyces",19.25,77
"53","g__Dioszegia",6.33333333333333,76
"54","g__Meyerozyma",75,75
"55","g__Pseudogymnoascus",12.3333333333333,74
"56","g__Zalaria",37,74
"57","g__Paraphoma",10.2857142857143,72
"58","g__Neosetophoma",5.46153846153846,71
"59","g__Cyphellophora",9.71428571428571,68
"60","g__Issatchenkia",33,66
"61","g__Plectosphaerella",3.14285714285714,66
"62","g__Dictyosporiaceae_gen_Incertae_sedis",20,60
"63","g__Diutina",17.3333333333333,52
"64","g__Acremonium",3.84615384615385,50
"65","g__Curvibasidium",24.5,49
"66","g__Knufia",6,48
"67","g__Tetracladium",6.85714285714286,48
"68","g__Scopulariopsis",9.4,47
"69","g__Chordomyces",11.5,46
"70","g__Hyphopichia",9.2,46
"71","g__Kazachstania",5.75,46
"72","g__Bisifusarium",11.25,45
