"","value","x","y","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency"
"sample-110","sample-110",-0.429516112550089,5.51946242194887,"NL.35.2","no","Fall","Facility3","Door","Cold Storage","Warehouse",3,"Yes","No","Tarp",0,"Wet","Continuous","Storage","sample-110","Plastic","None","Standard/Dry(0-30)","Cold(~55-40)","Low",0,"None"
"sample-133","sample-133",-1.15762997485671,0.815061936229931,"NL.48.2","no","Fall","Facility3","Door","Filling","Filling",3,"Yes","No","Plastic",0,"Dry","Continuous","Production","sample-133","Plastic","None","no data","Ambient/Warm (~75-80)","Low",0,"None"
"sample-137","sample-137",-0.0947896209205992,-1.57743710801027,"NL.50.2","yes","Fall","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",150,"Wet","Continuous","Storage","sample-137","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Low",2.18,"Daily"
"sample-138","sample-138",-0.315081350872246,-2.41438715371401,"NL.50.4","yes","Spring","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",38000,"Wet","Continuous","Storage","sample-138","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Medium",4.58,"Daily"
"sample-139","sample-139",0.57049584954695,-2.17774087891555,"NL.50.3","yes","Winter","Facility3","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Cement",0,"Wet","Continuous","Storage","sample-139","Cement","Daily","Standard/Dry(0-30)","Cold(~55-40)","Low",0,"Daily"
"sample-140","sample-140",-1.38831694679992,1.74420842620622,"NL.51.2","no","Fall","Facility3","Fan/Vent","Cold Storage","Warehouse",3,"Yes","No","Metal",4000,"Dry","Grille","Storage","sample-140","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",3.6,"None"
"sample-141","sample-141",-1.43854134750709,2.66823501058071,"NL.51.4","no","Spring","Facility3","Fan/Vent","Cold Storage","Warehouse",3,"Yes","No","Metal",8000,"Dry","Grille","Storage","sample-141","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",3.9,"None"
"sample-149","sample-149",-3.3044410768121,0.11117229630233,"NL.07.2","yes","Fall","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Rubber, Plastic",0,"Dry","Continuous","Storage","sample-149","Plastic","None","Humid(60-80)","Ambient (~70-75)","Low",0,"None"
"sample-150","sample-150",2.42047182805465,1.11563380903283,"NL.07.4","yes","Spring","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Rubber, Plastic",800,"Dry","Continuous","Storage","sample-150","Plastic","None","Humid(60-80)","Cool (~60-68)","Low",2.9,"None"
"sample-152","sample-152",-4.09036979951691,-0.214940655703081,"NL.08.2","no","Fall","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Painted cinderblock, caulk, brick",0,"Dry","Continuous","Production","sample-152","Brick","None","Very Humid(>80)","warm (~80-90)","Low",0,"None"
"sample-153","sample-153",2.21741327737689,-0.29328157205784,"NL.08.4","no","Spring","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Painted cinderblock, caulk, brick",10800,"Dry","Continuous","Production","sample-153","Brick","None","Very Humid(>80)","Ambient (~70-75)","Medium",4.03,"None"
"sample-158","sample-158",0.42268651923201,4.9977678087656,"NL.E8.4","no","Spring","Facility3","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Cincerblock, cement, wood",129000,"Dry","Continuous","Storage","sample-158","Cincerblock, cement, wood",NA,"Standard/Dry(0-30)","Cold(~55-40)","High",5.11,NA
"sample-159","sample-159",1.37176771887974,4.57909427740343,"NL.E9.4","no","Spring","Facility3","Floor Object","Receiving","Warehouse",3,"Yes","No","Diamond Rough Metal",153000,"Dry","Continuous","Receiving","sample-159","Metal",NA,"Standard/Dry(0-30)","Cold(~55-40)","High",5.18,NA
"sample-293","sample-293",2.2567069393082,0.431421115566857,"NL.10.1","yes","Summer","Facility3","Wall/Ceiling","UF","Post-Pasteurization ",3,"None","No","Painted cinderblock, caulk",315000,"Wet","Continuous","Production","sample-293","Caulk","None","Very Humid(>80)","Ambient (~70-75)","High",5.5,"None"
"sample-295","sample-295",-2.03232940925152,-1.47091296296434,"NL.14.1","no","Summer","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Caulk, plastic, brick",18800,"Wet","Continuous","Production","sample-295","Brick","None","Standard (30-60)","Ambient (~70-75)","Medium",4.27,"None"
"sample-296","sample-296",-2.42794790271141,5.2123525051337,"NL.15.1","no","Summer","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Metal",10600,"Dry","Perforated","Production","sample-296","Metal","None","Standard (30-60)","Ambient (~70-75)","Medium",4.03,"None"
"sample-310","sample-310",-4.27031788855286,3.20994946155574,"NL.33.1","no","Summer","Facility3","Door","Filling","Filling",3,"Yes","No","Tarp",300,"Damp","Continuous","Production","sample-310","Plastic","None","Standard (30-60)","Ambient/Warm (~75-80)","Low",2.48,"None"
"sample-321","sample-321",-3.6490966707572,3.75313726938513,"NL.48.1","no","Summer","Facility3","Door","Filling","Filling",3,"Yes","No","Plastic",1400,"Dry","Continuous","Production","sample-321","Plastic","None","no data","Ambient/Warm (~75-80)","Medium",3.15,"None"
"sample-325","sample-325",-2.13074735984749,4.43006129309053,"NL.07.1","yes","Summer","Facility3","Door","Dry Storage","Warehouse",3,"Yes","No","Plastic, rubber",0,"Dry","Continuous","Storage","sample-325","Plastic, rubber","None","Humid(60-80)","Ambient/Warm (~75-80)","Low",0,"None"
"sample-326","sample-326",-4.00325337224801,0.739583239458142,"NL.08.1","no","Summer","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Painted cinderblock, caulk, brick",1.88e+08,"Damp","Continuous","Production","sample-326","Brick","None","Very Humid(>80)","Ambient (~70-75)","High",8.27,"None"
"sample-76","sample-76",0.563499075933647,4.10340203237762,"NL.E9.2","no","Fall","Facility3","Floor Object","Receiving","Warehouse",3,"Yes","No","Diamond Rough Metal",70000,"Dry","Continuous","Receiving","sample-76","Metal",NA,"Standard/Dry(0-30)","Cold(~55-40)","Medium",4.85,NA
"sample-77","sample-77",2.34233944312638,4.31926293141956,"NL.E9.3","no","Winter","Facility3","Floor Object","Receiving","Warehouse",3,"Yes","No","Diamond Rough Metal",48000,"Dry","Continuous","Receiving","sample-77","Metal",NA,"Standard/Dry(0-30)","no data","Medium",4.68,NA
"sample-81","sample-81",2.86161904132088,0.154699198733381,"NL.10.2","yes","Fall","Facility3","Wall/Ceiling","UF","Post-Pasteurization ",3,"None","No","Painted cinderblock, caulk",0,"Wet","Continuous","Production","sample-81","Caulk","None","Very Humid(>80)","warm (~80-90)","Low",0,"None"
"sample-82","sample-82",3.22566836330174,2.04981103964984,"NL.10.4","yes","Spring","Facility3","Wall/Ceiling","UF","Post-Pasteurization ",3,"None","No","Painted cinderblock, caulk",1200,"Dry","Continuous","Production","sample-82","Caulk","None","Very Humid(>80)","Ambient (~70-75)","Medium",3.08,"None"
"sample-83","sample-83",1.6394952446742,0.290533943867354,"NL.10.3","yes","Winter","Facility3","Wall/Ceiling","UF","Post-Pasteurization ",3,"None","No","Painted cinderblock, caulk",5600,"Dry","Continuous","Production","sample-83","Caulk","None","Very Humid(>80)","no data","Medium",3.75,"None"
"sample-91","sample-91",1.81198058183266,2.13657329031644,"NL.14.2","no","Fall","Facility3","Floor Object","UF","Post-Pasteurization ",3,"None","No","Caulk, plastic, brick",450,"Dry","Continuous","Production","sample-91","Brick","None","Standard (30-60)","Ambient (~70-75)","Low",2.65,"None"
"sample-92","sample-92",-2.68200197781778,-1.98035027183644,"NL.14.4","no","Spring","Facility3","Floor Object","UF","Post-Pasteurization ",3,"None","No","Caulk, plastic, brick",5.6e+07,"Dry","Continuous","Production","sample-92","Brick","None","Standard (30-60)","Cool (~60-68)","High",7.75,"None"
"sample-93","sample-93",-4.34523790932885,1.61466319405247,"NL.15.4","no","Spring","Facility3","Floor Object","UF","Post-Pasteurization ",3,"None","No","Metal",0,"Dry","Perforated","Production","sample-93","Metal","None","Standard (30-60)","Cool (~60-68)","Low",0,"None"
