"","value","x","y","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency"
"sample-163","sample-163",-0.284487547852284,0.19419394722361,"WS.12.2","no","Fall","Facility1","Fan/Vent","Raw Blend","Raw",2,"Yes","No","Painted Metal",0,"Dry","Grille","Production","sample-163","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None"
"sample-164","sample-164",1.65323542366242,0.190720763551383,"WS.12.3","no","Winter","Facility1","Fan/Vent","Raw Blend","Raw",2,"Yes","No","Painted Metal",0,"Dry","Grille","Production","sample-164","Metal","None","Standard (30-60)","no data","Low",0,"None"
"sample-165","sample-165",-4.1767292366307,2.41590873103753,"WS.14.2","yes","Fall","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",10700,"Dry","Grille","Storage","sample-165","Metal, Sealed concrete ","None","Very Humid(>80)","Cold(~55-40)","Medium",4.03,"None"
"sample-166","sample-166",-3.46983563823328,2.63421019445685,"WS.14.4","yes","Spring","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",53200,"Dry","Grille","Storage","sample-166","Metal, Sealed concrete ","None","Very Humid(>80)","Cold(~55-40)","Medium",4.73,"None"
"sample-167","sample-167",-3.25018626603608,1.9110716086267,"WS.14.3","yes","Winter","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal, Sealed concrete ",0,"Dry","Grille","Storage","sample-167","Metal, Sealed concrete ","None","Humid(60-80)","no data","Low",0,"None"
"sample-170","sample-170",-4.87144490943187,-2.18326426319517,"WS.16.2","yes","Fall","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",95000,"Wet","Perforated","Storage","sample-170","Metal","Weekly","Very Humid(>80)","Cold(~55-40)","Medium",4.98,"Weekly"
"sample-171","sample-171",-4.05744342794767,1.56532318882138,"WS.16.4","yes","Spring","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",4000,"Dry","Perforated","Storage","sample-171","Metal","Weekly","Very Humid(>80)","Cold(~55-40)","Medium",3.6,"Weekly"
"sample-172","sample-172",-4.64458125559463,-2.98344663760878,"WS.16.3","yes","Winter","Facility1","Floor Object","Cold Storage","Warehouse",3,"Yes","No","Metal",3600,"Wet","Perforated","Storage","sample-172","Metal","Weekly","Humid(60-80)","no data","Medium",3.56,"Weekly"
"sample-175","sample-175",-4.51510052559756,-0.484562321396386,"WS.18.2","no","Fall","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",46200,"Dry","Continuous","Storage","sample-175","Metal","None","Very Humid(>80)","Cold(~55-40)","Medium",4.66,"None"
"sample-176","sample-176",-4.61420070969633,0.488321744197107,"WS.18.4","no","Spring","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",2360000,"Dry","Continuous","Storage","sample-176","Metal","None","Very Humid(>80)","Cold(~55-40)","High",6.37,"None"
"sample-177","sample-177",-5.33306923474151,-0.188518414362662,"WS.18.3","no","Winter","Facility1","Wall/Ceiling","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",2960000,"Dry","Continuous","Storage","sample-177","Metal","None","Humid(60-80)","no data","High",6.47,"None"
"sample-185","sample-185",-2.78802542940858,-4.07260786031113,"WS.24.2","yes","Fall","Facility1","Floor Object","Cheese Room","Post-Pasteurization ",3,"Yes","No","Metal",0,"Dry","Grid","Production","sample-185","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None"
"sample-187","sample-187",-3.12359296210547,-3.23079566365613,"WS.24.3","yes","Winter","Facility1","Floor Object","Cheese Room","Post-Pasteurization ",3,"Yes","No","Metal",0,"Dry","Grid","Production","sample-187","Metal","None","Standard (30-60)","Ambient (~70-75)","Low",0,"None"
"sample-193","sample-193",0.110871714942088,3.31622915265332,"WS.29.3","no","Winter","Facility1","Floor Object","Kosher Cheese Room","Post-Pasteurization ",3,"Yes","No","Sealed Stone",6000,"Wet","Continuous","Production","sample-193","Sealed Stone","None/as needed","Standard (30-60)","no data","Medium",3.78,"None/as needed"
