Sample ID,Location.Sample.date,125_samplse
sample-36,B.05.2,sample-11
sample-288,B.05A.1,sample-110
sample-289,B.05B.1,sample-133
sample-37,B.06.2,sample-135
sample-291,B.08A.1,sample-137
sample-2,B.12.3,sample-138
sample-3,B.13.2,sample-139
sample-253,B.13A.1,sample-140
sample-254,B.13B.1,sample-141
sample-6,B.16.2,sample-142
sample-7,B.16.4,sample-149
sample-258,B.16A.1,sample-150
sample-259,B.16B.1,sample-151
sample-11,B.18.4,sample-152
sample-262,B.18A.1,sample-153
sample-16,B.25.2,sample-158
sample-17,B.25.4,sample-159
sample-268,B.25B.1,sample-16
sample-18,B.26.2,sample-163
sample-19,B.26.4,sample-164
sample-269,B.26A.1,sample-165
sample-270,B.26B.1,sample-166
sample-23,B.28.2,sample-167
sample-24,B.28.4,sample-17
sample-273,B.28A.1,sample-170
sample-274,B.28B.1,sample-171
sample-31,B.33.2,sample-172
sample-32,B.33.4,sample-175
sample-282,B.33A.1,sample-176
sample-283,B.33B.1,sample-177
sample-64,B.E5.2,sample-18
sample-43,B.E5.4,sample-181
sample-71,B.E7.2,sample-185
sample-292,NL.01.1,sample-186
sample-78,NL.01.2,sample-187
sample-80,NL.01.3,sample-19
sample-79,NL.01.4,sample-193
sample-135,NL.05.4,sample-2
sample-325,NL.07.1,sample-201
sample-149,NL.07.2,sample-202
sample-151,NL.07.3,sample-219
sample-150,NL.07.4,sample-224
sample-326,NL.08.1,sample-225
sample-152,NL.08.2,sample-226
sample-153,NL.08.4,sample-227
sample-293,NL.10.1,sample-228
sample-81,NL.10.2,sample-229
sample-83,NL.10.3,sample-23
sample-82,NL.10.4,sample-230
sample-295,NL.14.1,sample-231
sample-91,NL.14.2,sample-232
sample-92,NL.14.4,sample-235
sample-296,NL.15.1,sample-236
sample-93,NL.15.4,sample-24
sample-299,NL.20.1,sample-250
sample-308,NL.31.1,sample-251
sample-310,NL.33.1,sample-253
sample-311,NL.35.1,sample-254
sample-110,NL.35.2,sample-258
sample-321,NL.48.1,sample-259
sample-133,NL.48.2,sample-262
sample-323,NL.50.1,sample-263
sample-137,NL.50.2,sample-268
sample-139,NL.50.3,sample-269
sample-138,NL.50.4,sample-270
sample-140,NL.51.2,sample-273
sample-142,NL.51.3,sample-274
sample-141,NL.51.4,sample-282
sample-50,NL.E13.3,sample-283
sample-74,NL.E8.2,sample-288
sample-75,NL.E8.3,sample-289
sample-158,NL.E8.4,sample-291
sample-76,NL.E9.2,sample-292
sample-77,NL.E9.3,sample-293
sample-159,NL.E9.4,sample-295
sample-353,WS.07.1,sample-296
sample-329,WS.12.1,sample-299
sample-163,WS.12.2,sample-3
sample-164,WS.12.3,sample-308
sample-331,WS.14.1,sample-31
sample-165,WS.14.2,sample-310
sample-167,WS.14.3,sample-311
sample-166,WS.14.4,sample-32
sample-332,WS.16.1,sample-321
sample-170,WS.16.2,sample-323
sample-172,WS.16.3,sample-325
sample-171,WS.16.4,sample-326
sample-175,WS.18.2,sample-329
sample-177,WS.18.3,sample-331
sample-176,WS.18.4,sample-332
sample-334,WS.21.1,sample-334
sample-181,WS.21.3,sample-335
sample-335,WS.24.1,sample-338
sample-185,WS.24.2,sample-341
sample-187,WS.24.3,sample-346
sample-186,WS.24.4,sample-347
sample-338,WS.29.1,sample-348
sample-193,WS.29.3,sample-350
sample-341,WS.36.1,sample-353
sample-201,WS.36.2,sample-36
sample-202,WS.36.4,sample-37
sample-219,WS.44.4,sample-43
sample-346,WS.47.1,sample-45
sample-224,WS.47.2,sample-50
sample-226,WS.47.3,sample-6
sample-225,WS.47.4,sample-64
sample-347,WS.48.1,sample-69
sample-227,WS.48.2,sample-7
sample-229,WS.48.3,sample-70
sample-228,WS.48.4,sample-71
sample-348,WS.49.1,sample-72
sample-230,WS.49.2,sample-73
sample-232,WS.49.3,sample-74
sample-231,WS.49.4,sample-75
sample-350,WS.50.1,sample-76
sample-236,WS.50.3,sample-77
sample-235,WS.50.4,sample-78
sample-72,WS.E7.3,sample-79
sample-251,WS.E7.4,sample-80
,,sample-81
,,sample-82
,,sample-83
,,sample-91
,,sample-92
,,sample-93
