No.,Shipment,Date_Recieved,Site,Sample_Type,Yogurt_Flavor,Genera
1,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Hanseniaspora (Kloechera)
5,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Hanseniaspora (Kloechera)
2,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Pichia
6,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Pichia
3,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Saccharomyces
4,1,20220930,Facility3,Yogurt,"Peach, apricot & Almond ",Saccharomyces
11,2,20221027,Facility1,Cottage Cheese,,Leucosporidium
7,2,20221027,Facility1,Yogurt,Peach,Mucor
8,2,20221027,Facility1,Cottage Cheese,,Mucor
13,2,20221027,Facility1,Yogurt,Strawberry,Mucor
9,2,20221027,Facility1,Cottage Cheese,,Penicillium 
10,2,20221027,Facility1,Cottage Cheese,,Penicillium 
12,2,20221027,Facility1,Yogurt,Strawberry,Penicillium 
14,3,20221101,Facility2,Yogurt,Vanilla,Mucor
15,3,20221101,Facility2,Yogurt,Strawberry,None
22,4,20221102,Facility3,Yogurt,Coconut Almond,Penicillium 
38,5,20221115,Facility1,Yogurt,Cappuccino,Candida
40,5,20221115,Facility1,Cottage Cheese,,Clavispora
31,5,20221115,Facility1,Yogurt,Blueberry,Mucor
32,5,20221115,Facility1,Yogurt,Vanilla,Mucor
36,5,20221115,Facility1,Yogurt,Blackberry,Mucor
39,5,20221115,Facility1,Yogurt,Cappuccino,Mucor
41,5,20221115,Facility1,Cottage Cheese,,Mucor
45,5,20221115,Facility1,Cottage Cheese,,Mucor
48,5,20221115,Facility1,Yogurt,Vanilla Blended,Mucor
33,5,20221115,Facility1,Yogurt,Vanilla,Penicillium 
35,5,20221115,Facility1,Yogurt,Strawberry Bananna,Penicillium 
37,5,20221115,Facility1,Cottage Cheese,,Penicillium 
46,5,20221115,Facility1,Sour Cream,,Penicillium 
50,5,20221115,Facility1,Yogurt,Vanilla Blended,Penicillium 
43,5,20221115,Facility1,Cottage Cheese,,Pichia
34,5,20221115,Facility1,Yogurt,Strawberry Bananna,Torulaspora
42,5,20221115,Facility1,Cottage Cheese,,Yarrowia
44,5,20221115,Facility1,Cottage Cheese,,Yarrowia
47,5,20221115,Facility1,Sour Cream,,Yarrowia
49,5,20221115,Facility1,Yogurt,Vanilla Blended,Yarrowia
51,6,20221129,Facility3,Yogurt,Blueberry Bilberry,Bullera
52,6,20221129,Facility3,Yogurt,Blueberry Bilberry,None
54,7,20221207,Facility3,Yogurt,Strawberry Almond,Cladosporium
59,7,20221207,Facility3,Yogurt, Mx Berry,None
53,7,20221207,Facility3,Yogurt,Strawberry Almond,Penicillium 
55,7,20221207,Facility3,Yogurt,Strawberry Almond,Penicillium 
56,7,20221207,Facility3,Yogurt,Strawberry Almond,Penicillium 
57,7,20221207,Facility3,Yogurt,Peach Apricot,Penicillium 
58,7,20221207,Facility3,Yogurt,Vanilla,Penicillium 
60,7,20221207,Facility3,Yogurt,Strawberry Bananna,Penicillium 
76,9,20221209,Facility1,Yogurt,Blueberry,Candida
77,9,20221209,Facility1,Yogurt,Strawberry,Candida
62,8,20221209,Facility2,Yogurt,Peach,None
74,9,20221209,Facility1,Yogurt,Plain,None
75,9,20221209,Facility1,Yogurt,Plain,None
61,8,20221209,Facility2,Yogurt,Plain,Penicillium 
80,10,20230104,Facility3,Yogurt,Blue Walnut,Cladosporium
89,10,20230104,Facility3,Yogurt,Blueberry Bilberry,Mucor
92,10,20230104,Facility3,Yogurt,Plain,Mucor
93,10,20230104,Facility3,Yogurt,Vanilla,Mucor
79,10,20230104,Facility3,Yogurt,Blue Walnut,Penicillium 
81,10,20230104,Facility3,Yogurt,Blue Walnut,Penicillium 
82,10,20230104,Facility3,Yogurt,Blue Walnut,Penicillium 
83,10,20230104,Facility3,Yogurt,Cold Brew,Penicillium 
85,10,20230104,Facility3,Yogurt,Vanilla,Penicillium 
86,10,20230104,Facility3,Yogurt,Vanilla,Penicillium 
87,10,20230104,Facility3,Yogurt,Strawberry,Penicillium 
88,10,20230104,Facility3,Yogurt,Plain,Rhodosporidiobolus
78,10,20230104,Facility3,Yogurt,,Sporobolomyces
84,10,20230104,Facility3,Yogurt,Vanilla,Sporobolomyces
90,10,20230104,Facility3,Yogurt,Plain,Yarrowia
91,10,20230104,Facility3,Yogurt,Plain,Yarrowia
109,11,20230117,Facility3,Yogurt,Peach Apricot,Cladosporium
104,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Cystofilobasidium
94,11,20230117,Facility3,Yogurt,Blueberry Bilberry,None
97,11,20230117,Facility3,Yogurt,Blueberry Bilberry,None
99,11,20230117,Facility3,Yogurt,Blueberry Bilberry,None
107,11,20230117,Facility3,Yogurt,Blueberry Bilberry,None
95,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
96,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
98,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
100,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
102,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
103,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
105,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
106,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
108,11,20230117,Facility3,Yogurt,Cherry Almond,Penicillium 
110,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
111,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Penicillium 
101,11,20230117,Facility3,Yogurt,Blueberry Bilberry,Trametes
119,12,20230125,Facility3,Yogurt,Blueberry Bilberry,Cystofilobasidium
116,12,20230125,Facility3,Yogurt,Strawberry Almond,Penicillium 
