"","x"
"1","Hanseniaspora (Kloechera)"
"2","Pichia"
"3","Saccharomyces"
"4","Leucosporidium"
"5","Mucor"
"6","Penicillium "
"7","None"
"8","Candida"
"9","Clavispora"
"10","Torulaspora"
"11","Yarrowia"
"12","Bullera"
"13","Cladosporium"
"14","Rhodosporidiobolus"
"15","Sporobolomyces"
"16","Cystofilobasidium"
"17","Trametes"
"18","Aureobasidium"
"19","Filobasidium"
"20","Galactomyces"
"21","Kluyveromyces"
"22","Paecilomyces"
"23","Rhodotorula"
"24","Botryotinia"
"25","Neoascochyta"
"26","Geotrichum/Galactomyces"
