"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"60e963dba5db57043967a6f95c443af4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__"
"8c707734e4bd5cfc2f816d96dbd5cbaa","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_parapsilosis"
"1a3a0a750a99d7c8a9750ddc2b77cca6","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__Mucor_racemosus"
"ba2e4524e404d77a3ae8f67a8610d860","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__"
"4e340178a529bcf6a1393455406b85c2","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Apiotrichum","s__Apiotrichum_domesticum"
"b47367fa4b4560c1a008c957f8043e41","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__Aureobasidium_pullulans"
"464aa38388d0e73eb386fe1894fb8151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__"
"abb3c888ea887c8fb737ff12175c5ae4","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__Mucor_circinelloides"
"884e783abddf50bda4d48ecabd768c1f","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__"
"2550aed5d5b67d25c8e6f79430e38148","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__Cystofilobasidium_infirmominiatum"
"4e3b7722c820e6fcca74d922224dd157","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__Aspergillus_ruber"
"def44debdcf9a8adc408bc638d5781a4","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_intermedia"
"e9a80e01ef561cb0d48295ce7717c488","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__Cutaneotrichosporon_cutaneum"
"5e5a04489c0340b0a36d683ba8ba52c8","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Yarrowia","s__Yarrowia_lipolytica"
"acd90ebebd5cdca0a466d698bec37810","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__"
"9b3bab98ad1ea732e8b6384bce7b565a","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__Filobasidium_magnum"
"733c723715676042cade72b67ca50dd8","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomyces","s__Debaryomyces_delbrueckii"
"270883e6ac07e2968629a6de7ce390aa","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Rhizopodaceae","g__Rhizopus","s__Rhizopus_arrhizus"
"5d3b922a6aa194ac206e6d65c4985a67","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__Penicillium_brevicompactum"
"2679fa92637945c107dae1a2c67b4454","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"129a88fa49d08cc3a6108dea5b7354e3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia_albida"
"23d52f7f38436a0ca995e5bb279892c5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__Vishniacozyma_victoriae"
"feccbf8e7b4a08eab7cf278d9d07d627","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__Aspergillus_conicus"
"bb9723a71a5d016633d9608d15ef44be","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Meyerozyma","s__Meyerozyma_guilliermondii"
"375888b8922743f867f36e29555d2508","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomyces","s__Debaryomyces_prosopidis"
"db8269e86eb1161858b2018e903fc3d7","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__Rhodotorula_mucilaginosa"
