"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.00014049311196734,0.000384858353236681
"2","g__Acrophialophora",8.18364948799731e-05,0.000484151232879144
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.0273316823455863,0.118203837361605
"5","g__Apiotrichum",0.0313300181054139,0.149562293769468
"6","g__Aspergillus",0.0297402173800545,0.0559006768095093
"7","g__Aureobasidium",0.0129564815532045,0.0231492331461045
"8","g__Bisifusarium",4.60936298452035e-05,0.000210912215693726
"9","g__Bjerkandera",1.20406586109203e-05,5.29725299679806e-05
"10","g__Botryotrichum",2.12178826221965e-05,0.000125526686421358
"11","g__Bullera",6.62886672383059e-05,0.000253001167369363
"12","g__Cadophora",0.000192207117164266,0.00070968702432516
"13","g__Candida",0.0530609953145544,0.192786269404891
"14","g__Capnodiales_gen_Incertae_sedis",8.41319048047497e-06,4.97731061129041e-05
"15","g__Cephaloascus",0.0047997027149631,0.0104471186780081
"16","g__Ceratocystidaceae_gen_Incertae_sedis",8.40306848690989e-05,0.000436318718683443
"17","g__Chaetomium",0.0125075514649082,0.0677288890010434
"18","g__Chaetothyriales_gen_Incertae_sedis",1.48318532903461e-05,8.77464273969161e-05
"19","g__Chordomyces",0.0004493350424355,0.00182823998260034
"20","g__Citeromyces",7.33946035807134e-05,0.000434208330432469
"21","g__Cladosporium",0.028453397378456,0.0378148495261389
"22","g__Clavispora",0.000143158200623769,0.000384775273811859
"23","g__Cleistothelebolus",3.18891850725977e-05,0.000145451770166675
"24","g__Clonostachys",0.00123201202594563,0.00657139928492414
"25","g__Coniochaeta",0.00248142432348166,0.00479296449526063
"26","g__Coniosporium",0.000716672453036976,0.00338427256049014
"27","g__Coniothyrium",0.000690070009306293,0.00339706508688832
"28","g__Cosmospora",0.000159014677619052,0.000649015017387893
"29","g__Cryptococcus",0.00155480664276831,0.00605497915350757
"30","g__Curvibasidium",0.00193190778519469,0.00601552509218016
"31","g__Curvularia",8.17009268162241e-05,0.000483349201397965
"32","g__Cutaneotrichosporon",0.00239453465329868,0.00578083699615808
"33","g__Cyberlindnera",0.00134182422275642,0.00472507156400795
"34","g__Cyphellophora",0.00116883205240822,0.00524978114639233
"35","g__Cystobasidium",0.0101469112319649,0.0257877259597183
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.0280570480786724,0.0813450960663356
"38","g__Cytospora",0.000176037757030823,0.000922292054968275
"39","g__Debaryomyces",0.00197641274182828,0.00591816853709205
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.000877154020842308,0.00324314483246967
"41","g__Didymella",0.0326388188590619,0.0922275786287838
"42","g__Dioszegia",0.000774877387288033,0.00271653330486129
"43","g__Diplodia",0.00017054189085319,0.00100893943264814
"44","g__Dipodascus",8.64689021604372e-06,5.11556923938181e-05
"45","g__Diutina",6.48536063493673e-05,0.000325696090772833
"46","g__Effuseotrichosporon",0,0
"47","g__Eucasphaeria",0.00066573278301143,0.0035926658053183
"48","g__Exophiala",0.0462596229011371,0.155645917273304
"49","g__Filobasidium",0.0113218699953034,0.0189935244026146
"50","g__Fomitopsis",0,0
"51","g__Fungi_gen_Incertae_sedis",0.00405457371912877,0.00984560164337371
"52","g__Fusarium",0.103406504278745,0.248993696011351
"53","g__Fusicolla",0.00438938111351331,0.0222024879966718
"54","g__Galactomyces",5.56733195063687e-05,0.000184660850785591
"55","g__Geotrichum",0.00705831250875474,0.0181929731853059
"56","g__Gibberella",3.14755749538358e-05,0.000186212012645825
"57","g__Gibellulopsis",0.00034351848391495,0.00147707840531405
"58","g__Hannaella",0.000789367332974332,0.00408064278856725
"59","g__Hanseniaspora",0.000370868161664063,0.00127900598662833
"60","g__Hormonema",5.86076286378051e-05,0.000185641190669297
"61","g__Huntiella",0.000127646909011688,0.000755169297779202
"62","g__Hyphopichia",0.000246405659685558,0.000969878717781857
"63","g__Inopinatum",8.08145024318431e-06,4.78105044018281e-05
