"","OTUID","mean_abundance","sd_abundance"
"149","g__Yarrowia",0.110014061529679,0.290412847247717
"52","g__Fusarium",0.103406504278745,0.248993696011351
"13","g__Candida",0.0530609953145544,0.192786269404891
"82","g__Naganishia",0.0472063429997937,0.0937610343266273
"48","g__Exophiala",0.0462596229011371,0.155645917273304
"97","g__Penicillium",0.0437499549486414,0.0712214146492538
"145","g__Vishniacozyma",0.0430228533778153,0.114385286328042
"41","g__Didymella",0.0326388188590619,0.0922275786287838
"5","g__Apiotrichum",0.0313300181054139,0.149562293769468
"6","g__Aspergillus",0.0297402173800545,0.0559006768095093
