"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.000735031734990167,0.00193035023254586
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.0319083425699827,0.12795491944175
"5","g__Apiotrichum",0.0648504321774779,0.231311593562544
"6","g__Aspergillus",0.0316409718354597,0.0848375752152022
"7","g__Aureobasidium",0.0132972695124828,0.0456479586059856
"8","g__Bisifusarium",8.36848777687283e-05,0.000270512212345583
"9","g__Bjerkandera",1.40474350460737e-05,5.7102847870387e-05
"10","g__Botryotrichum",0.000168144447402871,0.000792377570999831
"11","g__Bullera",6.71063297297638e-05,0.000254103903880534
"12","g__Cadophora",1.17865723740877e-05,6.45577156495504e-05
"13","g__Candida",0.033141800827208,0.117030011261195
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.00356960717054405,0.00901794767922636
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000181087178870221,0.000821549657106513
"17","g__Chaetomium",0.00071207725017364,0.00200177974482393
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0.0183669005715923,0.0991266009947177
"20","g__Citeromyces",0.000143311923834514,0.000537196668528082
"21","g__Cladosporium",0.102646387217085,0.208842395565324
"22","g__Clavispora",0.000250063157925965,0.000544240425533041
"23","g__Cleistothelebolus",5.76897209600923e-05,0.00016708416966095
"24","g__Clonostachys",2.00618909335299e-06,1.09883502105027e-05
"25","g__Coniochaeta",0.00164562289176985,0.00328021279733152
"26","g__Coniosporium",0,0
"27","g__Coniothyrium",6.52283249333034e-05,0.00028209370968118
"28","g__Cosmospora",0.000142920335337285,0.0006681228866478
"29","g__Cryptococcus",0.000345255627605634,0.00063288726197881
"30","g__Curvibasidium",0.00158650649999029,0.00502018989689275
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.00643859345045291,0.0252548966184279
"33","g__Cyberlindnera",7.42084102381849e-05,0.000234695535121355
"34","g__Cyphellophora",0.00905388533848123,0.032658846750326
"35","g__Cystobasidium",0.00349198289061217,0.00683460001337516
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",1.12185732336652e-05,6.14466562310209e-05
