"","OTUID","mean_abundance","sd_abundance"
"97","g__Penicillium",0.120375235199809,0.238536523373207
"21","g__Cladosporium",0.102646387217085,0.208842395565324
"41","g__Didymella",0.094311786347227,0.237344823595793
"145","g__Vishniacozyma",0.0654242935657343,0.164340676380067
"5","g__Apiotrichum",0.0648504321774779,0.231311593562544
"82","g__Naganishia",0.0454096582921278,0.0988686298269048
"13","g__Candida",0.033141800827208,0.117030011261195
"4","g__Alternaria",0.0319083425699827,0.12795491944175
"52","g__Fusarium",0.0317422317151282,0.107911983558919
"6","g__Aspergillus",0.0316409718354597,0.0848375752152022
