"","OTUID","mean_abundance","sd_abundance"
"97","g__Penicillium",0.222178946044688,0.276936954076009
"149","g__Yarrowia",0.132104901345492,0.339084809661418
"115","g__Rhizopus",0.129230568268975,0.181127345413663
"6","g__Aspergillus",0.0795726700081038,0.100449034096729
"140","g__Trichoderma",0.0767206277321622,0.132741963319636
"81","g__Mucor",0.0737049829011666,0.111089936026472
"51","g__Fungi_gen_Incertae_sedis",0.0368579393064593,0.145103349956463
"55","g__Geotrichum",0.0318954349930862,0.10377108920891
"41","g__Didymella",0.0241317524231999,0.0716811218301723
"21","g__Cladosporium",0.020443001055946,0.0269173565027148
