"","OTUID","mean_abundance","sd_abundance"
"21","g__Cladosporium",0.0891280221650203,0.193377234029396
"13","g__Candida",0.0852487463593195,0.200984886543042
"52","g__Fusarium",0.0678290759662401,0.188543975525912
"41","g__Didymella",0.067659122846366,0.189042513673319
"97","g__Penicillium",0.059250694988383,0.145713883422791
"145","g__Vishniacozyma",0.0569922033849238,0.166041118528919
"6","g__Aspergillus",0.0514875275471739,0.148187098445097
"7","g__Aureobasidium",0.0508595478215552,0.15129503973038
"32","g__Cutaneotrichosporon",0.0454959443625376,0.143173778294329
"149","g__Yarrowia",0.0451374260362958,0.201360918660785
