"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.0100461642949475,0.0641533677979678
"2","g__Acrophialophora",0.000131568109599492,0.000595943259412682
"3","g__Akanthomyces",4.76334135271293e-05,0.000191354614309496
"4","g__Alternaria",0.00284592291019133,0.0140007826912346
"5","g__Apiotrichum",0.068610882334859,0.216132741031226
"6","g__Aspergillus",0.0111023710284139,0.0219370102603683
"7","g__Aureobasidium",0.0312020499724125,0.145562317340679
"8","g__Bisifusarium",0.000121882056284925,0.000534570023096434
"9","g__Bjerkandera",6.41762319957637e-05,0.000303474597943792
"10","g__Botryotrichum",0.000102421607864506,0.000663767882483873
"11","g__Bullera",5.34624556417782e-05,0.000246352404733305
"12","g__Cadophora",8.41898026720548e-06,5.45612280567713e-05
"13","g__Candida",0.0120423148017626,0.0320930115169835
"14","g__Capnodiales_gen_Incertae_sedis",2.02386248042179e-05,9.97932890628034e-05
"15","g__Cephaloascus",0.00221950796484349,0.00652084881192771
"16","g__Ceratocystidaceae_gen_Incertae_sedis",6.34259132678756e-05,0.000287333446322766
"17","g__Chaetomium",0.000268610458807321,0.00136464440450536
"18","g__Chaetothyriales_gen_Incertae_sedis",0.00679841844632823,0.0434107484297255
"19","g__Chordomyces",0,0
"20","g__Citeromyces",8.55361319753232e-05,0.000367782808505946
"21","g__Cladosporium",0.0465637931415042,0.129707254411277
"22","g__Clavispora",9.60976229479403e-05,0.000298158728698292
"23","g__Cleistothelebolus",1.0671513599295e-05,6.9159312496564e-05
"24","g__Clonostachys",0.00100411017255805,0.00600429198397407
"25","g__Coniochaeta",0.00325861743736472,0.0101593393543082
"26","g__Coniosporium",0.000302352237113586,0.00156679124044366
"27","g__Coniothyrium",0.00020659620935777,0.000715711798266564
"28","g__Cosmospora",5.18026582361331e-05,0.000229668422462407
"29","g__Cryptococcus",0.00665333005510191,0.0386521328180876
"30","g__Curvibasidium",5.34078188921673e-05,0.000209236058378788
"31","g__Curvularia",6.29704462324673e-05,0.000408095133695655
"32","g__Cutaneotrichosporon",0.0402182779940305,0.143355851525563
"33","g__Cyberlindnera",6.20870244041164e-05,0.000302922011200939
"34","g__Cyphellophora",0.00726118557856359,0.0276767176681479
"35","g__Cystobasidium",0.0231065478469183,0.0708565407094612
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.0246200947248114,0.0562017754328775
"38","g__Cytospora",1.65735234647945e-05,0.000107408708034312
"39","g__Debaryomyces",0.000112617009586232,0.00040687104248885
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.000899970837524295,0.00297482689157414
"41","g__Didymella",0.12783180400759,0.267005250782251
"42","g__Dioszegia",0.0082584535811958,0.038713434425535
"43","g__Diplodia",0,0
"44","g__Dipodascus",6.42423098507975e-05,0.000293919764974324
"45","g__Diutina",1.57067857241025e-05,0.000101791605483362
"46","g__Effuseotrichosporon",0,0
"47","g__Eucasphaeria",1.08436347863804e-05,7.02747852787667e-05
"48","g__Exophiala",0.0588786069053203,0.148210512232661
"49","g__Filobasidium",0.00615768314013001,0.0150406594020821
"50","g__Fomitopsis",5.20876473988022e-05,0.000243840005005129
