"","OTUID","mean_abundance","sd_abundance"
"41","g__Didymella",0.12783180400759,0.267005250782251
"52","g__Fusarium",0.109484873295007,0.232968001464573
"145","g__Vishniacozyma",0.0965022613900289,0.210732893898321
"97","g__Penicillium",0.0722489164958363,0.190788268491692
"5","g__Apiotrichum",0.068610882334859,0.216132741031226
"48","g__Exophiala",0.0588786069053203,0.148210512232661
"21","g__Cladosporium",0.0465637931415042,0.129707254411277
"32","g__Cutaneotrichosporon",0.0402182779940305,0.143355851525563
"7","g__Aureobasidium",0.0312020499724125,0.145562317340679
"51","g__Fungi_gen_Incertae_sedis",0.0269299408892892,0.143707381867785
