"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0,0
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.00795075757422895,0.0261672012511368
"5","g__Apiotrichum",0.00282755293310636,0.00913555949689004
"6","g__Aspergillus",0.0128465086360397,0.0172522445944256
"7","g__Aureobasidium",0.0384317204648019,0.0976192096378887
"8","g__Bisifusarium",0.000900536728873319,0.00311955073698093
"9","g__Bjerkandera",0.00014545138029924,0.000503858361418615
"10","g__Botryotrichum",0,0
"11","g__Bullera",0.000110975077145578,0.000384428943980033
"12","g__Cadophora",0,0
"13","g__Candida",0.00594360517516162,0.0148174586136161
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.00213399953259292,0.00554456192619592
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.00010651164069157,0.000368967146550639
"17","g__Chaetomium",0.00157021216286867,0.00540805176412157
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0.157715475598051,0.315974435107371
"20","g__Citeromyces",0,0
"21","g__Cladosporium",0.00895409846876904,0.0156425934963415
"22","g__Clavispora",0.00326584263204347,0.010799765365747
"23","g__Cleistothelebolus",0,0
"24","g__Clonostachys",0,0
"25","g__Coniochaeta",5.04509346793252e-05,0.000129369652380335
"26","g__Coniosporium",0.000734352893619888,0.00254387304486974
"27","g__Coniothyrium",0.000242059801510963,0.00083851974937405
"28","g__Cosmospora",0,0
"29","g__Cryptococcus",0.000151411956552542,0.000469400106190794
"30","g__Curvibasidium",0,0
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.000420631340793722,0.00145710970702109
"33","g__Cyberlindnera",0.000102391355868635,0.000354694061240684
"34","g__Cyphellophora",0.00508537054052858,0.0153161980135044
"35","g__Cystobasidium",0.00389541321891968,0.00671062813145571
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.00850822787855872,0.0183132858095274
"38","g__Cytospora",0,0
"39","g__Debaryomyces",0.000266357409263602,0.000636276745226528
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0,0
"41","g__Didymella",0.0435265393129468,0.0844196916834207
"42","g__Dioszegia",4.11681737798111e-05,0.000142610737282915
"43","g__Diplodia",0,0
"44","g__Dipodascus",0,0
"45","g__Diutina",9.92867326304347e-05,0.000233482383582401
"46","g__Effuseotrichosporon",4.98521054205856e-06,1.72692758905468e-05
"47","g__Eucasphaeria",0,0
"48","g__Exophiala",0.135604282803722,0.263574308923362
"49","g__Filobasidium",0.000843276404385319,0.00215755394995294
"50","g__Fomitopsis",0,0
"51","g__Fungi_gen_Incertae_sedis",0.000735523529680151,0.00225572923896974
"52","g__Fusarium",0.297323676092495,0.420696326349931
"53","g__Fusicolla",0,0
"54","g__Galactomyces",5.54875385727889e-05,0.000192214471990017
"55","g__Geotrichum",0.00199755634676171,0.00337808947459153
"56","g__Gibberella",0,0
"57","g__Gibellulopsis",0,0
"58","g__Hannaella",0,0
"59","g__Hanseniaspora",0,0
"60","g__Hormonema",0.000688315479799681,0.00238439476529839
"61","g__Huntiella",0.000372303484617422,0.00128969710238463
"62","g__Hyphopichia",0,0
"63","g__Inopinatum",0,0
"64","g__Iodophanus",2.18840641427835e-05,7.58086219427944e-05
"65","g__Irpex",0,0
"66","g__Issatchenkia",0.000266065376724877,0.000789502756014453
"67","g__Kazachstania",4.73168954438561e-06,1.63910533930366e-05
"68","g__Kluyveromyces",0,0
"69","g__Knufia",0,0
"70","g__Kurtzmaniella",7.09007721537217e-05,0.000245607479332221
"71","g__Kwoniella",0,0
"72","g__Lasiobolidium",0,0
"73","g__Lecanicillium",4.18029557552935e-05,0.000144809686549444
"74","g__Leptographium",0,0
"75","g__Leucosporidium",0.000115196268429032,0.000352221768120283
"76","g__Malassezia",0.000241250937998052,0.000584180334523044
"77","g__Meyerozyma",0.0116738621474751,0.0404394447199641
"78","g__Microascus",0,0
"79","g__Mortierella",0,0
"80","g__Mrakia",5.26831771162603e-05,0.000182499878939026
"81","g__Mucor",0.0630219148360013,0.204040635749123
"82","g__Naganishia",0.00157935754686119,0.00293785897190062
"83","g__Nakazawaea",0,0
"84","g__Neoascochyta",0,0
"85","g__Neocucurbitaria",8.82893063992089e-06,3.05843128896892e-05
"86","g__Neophaeotheca",0,0
"87","g__Neopyrenochaeta",0,0
"88","g__Neosetophoma",0,0
"89","g__Nigrospora",0,0
"90","g__Oidiodendron",0.000397987044519575,0.00137866756372416
"91","g__Ophiostoma",0.000193231316888629,0.000438196601685646
"92","g__Orbilia",0.000186151742308711,0.000644848551192314
"93","g__Paecilomyces",0.000946579258404112,0.00327904673789358
"94","g__Papiliotrema",0.000127483453947723,0.000395917933240262
"95","g__Paraphoma",3.20680208533758e-05,0.00011108688283245
"96","g__Parapyrenochaeta",0,0
"97","g__Penicillium",0.0414536235626958,0.109531620448904
"98","g__Periconia",0,0
"99","g__Petriella",0,0
"100","g__Phaeococcomyces",0,0
"101","g__Phaeoisaria",0,0
"102","g__Phanerochaete",5.49748035657114e-05,0.000166902042296721
"103","g__Phialemonium",0,0
"104","g__Pichia",0.000416714216615978,0.000975430387978236
"105","g__Piskurozyma",0.000122716270969273,0.000270466288119886
"106","g__Plectosphaerella",0.000410408614775797,0.00142169714531129
"107","g__Pleurostoma",0.000216459140760287,0.000749836459119041
"108","g__Preussia",5.72774591719111e-05,0.000198414938828404
"109","g__Proceropycnis",0,0
"110","g__Pseudogymnoascus",0.000603307556770473,0.00168317058734193
"111","g__Pseudopithomyces",0.000317890109290887,0.00105084375373972
"112","g__Pseudotremella",0,0
"113","g__Pyrenochaetopsis",0,0
"114","g__Ramularia",5.19076973745445e-05,0.000179813538313241
"115","g__Rhizopus",0.0128237860514101,0.0401234406210984
"116","g__Rhodosporidiobolus",0.00611947874225156,0.0187291932985388
"117","g__Rhodotorula",0.00242012146289771,0.00548621824243611
"118","g__Rozellomycota_gen_Incertae_sedis",0.000175944803436709,0.000417630045173032
"119","g__Sarocladium",0.0849813678890394,0.274778578798828
"120","g__Scopulariopsis",0,0
"121","g__Sistotrema",9.1622916723931e-06,3.17391093807001e-05
"122","g__Spermospora",0,0
"123","g__Spissiomyces",0.0001659521112348,0.000443966602940858
"124","g__Spizellomycetales_gen_Incertae_sedis",0,0
"125","g__Sporidiobolus",0.00130878604238739,0.00435000580460111
"126","g__Sporobolomyces",0.000278578221925703,0.000965023268515032
"127","g__Stachybotrys",0,0
"128","g__Stagonosporopsis",0,0
"129","g__Starmerella",2.13115091073169e-05,5.99067644939709e-05
"130","g__Symmetrospora",0.00291186441797504,0.00936234380930493
"131","g__Syncephalastrum",4.14022835133741e-06,1.43421717189071e-05
"132","g__Talaromyces",0.000552788896126445,0.00189267545712669
"133","g__Tausonia",0.000219678316711743,0.000599328306561648
"134","g__Tetracladium",4.52388151324409e-05,0.000156711852567207
"135","g__Thielaviopsis",5.32315073743382e-06,1.84399350671662e-05
"136","g__Torula",0,0
"137","g__Trametes",6.35633984772271e-05,0.000220190071328607
"138","g__Tremellales_gen_Incertae_sedis",0,0
"139","g__Tricellula",0,0
"140","g__Trichoderma",0.00292294490544746,0.00871556230022954
"141","g__Trichomerium",0,0
"142","g__Trichosporon",0.000371332847388923,0.000781078234176279
"143","g__Uwebraunia",0,0
