"","OTUID","mean_abundance","sd_abundance"
"52","g__Fusarium",0.297323676092495,0.420696326349931
"19","g__Chordomyces",0.157715475598051,0.315974435107371
"48","g__Exophiala",0.135604282803722,0.263574308923362
"119","g__Sarocladium",0.0849813678890394,0.274778578798828
"81","g__Mucor",0.0630219148360013,0.204040635749123
"41","g__Didymella",0.0435265393129468,0.0844196916834207
"97","g__Penicillium",0.0414536235626958,0.109531620448904
"7","g__Aureobasidium",0.0384317204648019,0.0976192096378887
"6","g__Aspergillus",0.0128465086360397,0.0172522445944256
"115","g__Rhizopus",0.0128237860514101,0.0401234406210984
