"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.0155181351393901,0.0800182252182174
"2","g__Acrophialophora",9.85771586066518e-05,0.00051222194151749
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.000594055603862393,0.00250208671230521
"5","g__Apiotrichum",0.0722078711639241,0.213427623945058
"6","g__Aspergillus",0.00389656775962715,0.0124459107572083
"7","g__Aureobasidium",0.0125613104213447,0.0526993618498429
"8","g__Bisifusarium",0.000173711877890344,0.000660467517889623
"9","g__Bjerkandera",0,0
"10","g__Botryotrichum",0.000159322501122565,0.000827864000199694
"11","g__Bullera",0,0
"12","g__Cadophora",0,0
"13","g__Candida",0.130771786016304,0.263326639048733
"14","g__Capnodiales_gen_Incertae_sedis",9.10329833918354e-06,4.73021257197698e-05
"15","g__Cephaloascus",0.000359089102946623,0.000678538197321224
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000166115056343699,0.000863159152468362
"17","g__Chaetomium",0.000506263254588524,0.00177187970286012
"18","g__Chaetothyriales_gen_Incertae_sedis",0.000118952717911362,0.000453599334881217
"19","g__Chordomyces",0,0
"20","g__Citeromyces",5.67371496803377e-05,0.000294814877768956
"21","g__Cladosporium",0.0196111215190492,0.052317243353542
"22","g__Clavispora",0.000290648582765157,0.000994042842586869
"23","g__Cleistothelebolus",1.660013226557e-05,8.6256817488992e-05
"24","g__Clonostachys",0,0
"25","g__Coniochaeta",7.09747022343212e-05,0.000261996892878773
"26","g__Coniosporium",0.00036308293071948,0.00188663425010145
"27","g__Coniothyrium",0.000105702249653245,0.000549245000621251
"28","g__Cosmospora",0.000100097452327089,0.000407627641481231
"29","g__Cryptococcus",0.00534225650517873,0.0189544991849516
"30","g__Curvibasidium",0.000988602371187075,0.00489586976641957
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.0805335771037191,0.184783883280244
"33","g__Cyberlindnera",0.00140414261404858,0.00499118974339407
"34","g__Cyphellophora",0.0118492858275648,0.0343772912400691
"35","g__Cystobasidium",0.026581546831291,0.0758960521973455
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.00162250455070452,0.00591190224335073
"38","g__Cytospora",2.57810365007915e-05,0.000133962195273476
"39","g__Debaryomyces",0.000319204355800387,0.000764155250547079
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.00416138035362456,0.013589225872075
"41","g__Didymella",0.310700193839662,0.37370350087217
"42","g__Dioszegia",6.82146951234318e-05,0.000249770677568107
"43","g__Diplodia",0,0
"44","g__Dipodascus",5.71479642434211e-05,0.000296949532856205
"45","g__Diutina",0,0
"46","g__Effuseotrichosporon",3.9014598681032e-05,0.00016612272725347
"47","g__Eucasphaeria",1.68678763343695e-05,8.764805648075e-05
"48","g__Exophiala",0.00561984276257077,0.0177703246001356
"49","g__Filobasidium",0.00393369903896542,0.00963132872896046
"50","g__Fomitopsis",3.00778759175901e-05,0.000156289227819055
"51","g__Fungi_gen_Incertae_sedis",0.038000257127401,0.179269817049459
"52","g__Fusarium",0.111227562441901,0.237538080632782
"53","g__Fusicolla",0.000327584331555334,0.00164578184743545
"54","g__Galactomyces",0.000776032998560769,0.00397926253055188
"55","g__Geotrichum",0.004188986718191,0.00980227029609979
"56","g__Gibberella",9.49199599153185e-05,0.000357296572770441
"57","g__Gibellulopsis",0.00024377864898672,0.0012667110175365
"58","g__Hannaella",0.00101555631308992,0.00465376874710557
"59","g__Hanseniaspora",0,0
"60","g__Hormonema",0,0
"61","g__Huntiella",0,0
"62","g__Hyphopichia",3.72516639315349e-06,1.93565323787698e-05
"63","g__Inopinatum",0.000204852996335728,0.00106444739320861
"64","g__Iodophanus",0,0
"65","g__Irpex",0,0
"66","g__Issatchenkia",2.99218510301518e-06,1.5547849872219e-05
"67","g__Kazachstania",0.00100692206254713,0.00523212051478105
"68","g__Kluyveromyces",0.000518403405534229,0.00224074232788311
"69","g__Knufia",2.40746458469129e-06,1.25095529343241e-05
"70","g__Kurtzmaniella",1.26424248170799e-05,6.56919663421563e-05
"71","g__Kwoniella",0,0
"72","g__Lasiobolidium",1.86578505313575e-05,9.69490352410116e-05
"73","g__Lecanicillium",0.00261244005425015,0.0122371780767801
"74","g__Leptographium",0,0
"75","g__Leucosporidium",0.000490493089817941,0.00254867685697835
"76","g__Malassezia",9.46864732010018e-05,0.000260325308614447
"77","g__Meyerozyma",0.0197990294373824,0.0664912297018882
"78","g__Microascus",0,0
"79","g__Mortierella",0,0
"80","g__Mrakia",0.000133891794586502,0.000551901959790725
"81","g__Mucor",0.00224710981971951,0.00691450139358935
"82","g__Naganishia",0.00374679833384633,0.00962889071842333
"83","g__Nakazawaea",0,0
"84","g__Neoascochyta",0.00140441718979482,0.00721358391573476
"85","g__Neocucurbitaria",1.20682059680551e-05,4.40834072794076e-05
"86","g__Neophaeotheca",0.00211179385298423,0.0109451941869828
"87","g__Neopyrenochaeta",0,0
"88","g__Neosetophoma",7.07348786345318e-05,0.000203121957423415
"89","g__Nigrospora",2.40746458469129e-06,1.25095529343241e-05
"90","g__Oidiodendron",0,0
"91","g__Ophiostoma",0.000649497970083066,0.00241094394558566
"92","g__Orbilia",4.58482017618891e-05,0.000238234244661782
"93","g__Paecilomyces",2.71221009864308e-06,1.40930570749536e-05
"94","g__Papiliotrema",0.00114834116097306,0.00216406937618407
"95","g__Paraphoma",9.72837906001658e-06,3.53185563972254e-05
"96","g__Parapyrenochaeta",3.61119687703694e-06,1.87643294014861e-05
"97","g__Penicillium",0.00622170022540526,0.0195322660877865
"98","g__Periconia",0.00126311708642397,0.00656334890878404
"99","g__Petriella",0,0
"100","g__Phaeococcomyces",0,0
"101","g__Phaeoisaria",0,0
"102","g__Phanerochaete",4.21306302320976e-06,2.18917176350671e-05
"103","g__Phialemonium",0,0
"104","g__Pichia",6.12264368881997e-05,0.000204179488038459
"105","g__Piskurozyma",0.000847699575275349,0.00267809733564744
"106","g__Plectosphaerella",0.00835108590287272,0.042535219415631
"107","g__Pleurostoma",0,0
"108","g__Preussia",2.37644545293305e-05,8.75568481438023e-05
"109","g__Proceropycnis",0,0
"110","g__Pseudogymnoascus",0.000266433692446964,0.00112764143484678
"111","g__Pseudopithomyces",0.000298708970185801,0.0008792148659486
"112","g__Pseudotremella",0,0
"113","g__Pyrenochaetopsis",0.000369904559079819,0.00132733457470975
"114","g__Ramularia",0,0
"115","g__Rhizopus",0.00058863381274987,0.00239912476523945
"116","g__Rhodosporidiobolus",0.0019623283297889,0.00582601534737675
"117","g__Rhodotorula",0.0025020911849908,0.00422104621053797
"118","g__Rozellomycota_gen_Incertae_sedis",0.00351256937650544,0.00918338481196997
"119","g__Sarocladium",0.00535086550566455,0.026355667754657
"120","g__Scopulariopsis",0.000131248197753252,0.000337799402086309
"121","g__Sistotrema",0,0
"122","g__Spermospora",6.42910424082484e-05,0.00017915960696539
"123","g__Spissiomyces",3.56637671594282e-05,0.000185314370128308
"124","g__Spizellomycetales_gen_Incertae_sedis",0,0
"125","g__Sporidiobolus",0.00152145116878414,0.00760269770138805
"126","g__Sporobolomyces",0,0
"127","g__Stachybotrys",0.000650338836462372,0.0032786804195153
"128","g__Stagonosporopsis",4.74636767262539e-06,2.46628498811689e-05
"129","g__Starmerella",2.48650820647168e-06,1.29202756411378e-05
"130","g__Symmetrospora",0.00113529912597156,0.00302666284689919
"131","g__Syncephalastrum",0,0
"132","g__Talaromyces",1.56727270624197e-05,5.80122045077545e-05
"133","g__Tausonia",0.00026970703986061,0.000977786596295816
"134","g__Tetracladium",0,0
"135","g__Thielaviopsis",0,0
"136","g__Torula",0,0
"137","g__Trametes",0.000734063343540265,0.00378964008341303
"138","g__Tremellales_gen_Incertae_sedis",1.8540155744091e-05,6.68120712278969e-05
"139","g__Tricellula",7.60320196501607e-05,0.000395073963108461
"140","g__Trichoderma",0.00353353953990401,0.0117958776871911
"141","g__Trichomerium",0,0
"142","g__Trichosporon",0.00649124804432926,0.0144930722067229
"143","g__Uwebraunia",6.84798010925162e-06,3.55831484353346e-05
"144","g__Verrucaria",0,0
"145","g__Vishniacozyma",0.00408843001760032,0.0108161631959195
"146","g__Wallemia",4.94532902004057e-05,0.000192993382712953
"147","g__Wickerhamiella",0.00252454366543908,0.00639641364760162
"148","g__Wickerhamomyces",0.00225291362380957,0.00853840370099596
"149","g__Yarrowia",0.04124151869255,0.191906753456728
"150","g__Zalaria",0.000247564868868537,0.00128261031393487
