"","OTUID","mean_abundance","sd_abundance"
"41","g__Didymella",0.310700193839662,0.37370350087217
"13","g__Candida",0.130771786016304,0.263326639048733
"52","g__Fusarium",0.111227562441901,0.237538080632782
"32","g__Cutaneotrichosporon",0.0805335771037191,0.184783883280244
"5","g__Apiotrichum",0.0722078711639241,0.213427623945058
"149","g__Yarrowia",0.04124151869255,0.191906753456728
"51","g__Fungi_gen_Incertae_sedis",0.038000257127401,0.179269817049459
"35","g__Cystobasidium",0.026581546831291,0.0758960521973455
"77","g__Meyerozyma",0.0197990294373824,0.0664912297018882
"21","g__Cladosporium",0.0196111215190492,0.052317243353542
