"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",1.93512589178697e-05,7.49471035170571e-05
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.00182067291186866,0.00532063876771749
"5","g__Apiotrichum",0.00702208235574065,0.0170984683178932
"6","g__Aspergillus",0.0080667896763087,0.0243892004278565
"7","g__Aureobasidium",0.0651834463585809,0.241902322839235
"8","g__Bisifusarium",6.34158190305014e-05,0.000221681261252492
"9","g__Bjerkandera",0,0
"10","g__Botryotrichum",0,0
"11","g__Bullera",0,0
"12","g__Cadophora",0,0
"13","g__Candida",0.13976423775476,0.272895147384684
"14","g__Capnodiales_gen_Incertae_sedis",4.02822124412798e-05,0.000156012337933466
"15","g__Cephaloascus",0.000366912347464176,0.000659785719151047
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0,0
"17","g__Chaetomium",0.00348177329618896,0.0133595898249128
"18","g__Chaetothyriales_gen_Incertae_sedis",2.52751136886461e-05,9.78900943896256e-05
"19","g__Chordomyces",0.000888304607145142,0.00241282894775429
"20","g__Citeromyces",1.32429032227551e-05,5.1289543637167e-05
"21","g__Cladosporium",0.0703057931808257,0.203971569154671
"22","g__Clavispora",0.000255425690272374,0.000606085928935405
"23","g__Cleistothelebolus",3.06829898698533e-05,8.53026011863348e-05
"24","g__Clonostachys",0,0
"25","g__Coniochaeta",0.000809343727442792,0.00190384878985879
"26","g__Coniosporium",0,0
"27","g__Coniothyrium",0,0
"28","g__Cosmospora",0,0
"29","g__Cryptococcus",2.97063810593228e-05,8.96131489368426e-05
"30","g__Curvibasidium",2.00038864693712e-05,7.74747191552985e-05
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.00102227995837386,0.00252362178523205
"33","g__Cyberlindnera",0.000153098807805901,0.000415357143536382
"34","g__Cyphellophora",0.000327012939667452,0.000950142033381744
"35","g__Cystobasidium",0.0061489698702926,0.0116520531836711
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.0012186975326153,0.00257813428713214
"38","g__Cytospora",0,0
"39","g__Debaryomyces",0.000650076879893608,0.00133416889368018
