"","OTUID","mean_abundance","sd_abundance"
"149","g__Yarrowia",0.255265715918902,0.406670963830241
"13","g__Candida",0.13976423775476,0.272895147384684
"145","g__Vishniacozyma",0.0884097719212911,0.217541478672906
"97","g__Penicillium",0.0871229692399216,0.230182965235577
"21","g__Cladosporium",0.0703057931808257,0.203971569154671
"7","g__Aureobasidium",0.0651834463585809,0.241902322839235
"51","g__Fungi_gen_Incertae_sedis",0.0413948251047108,0.149469398013944
"41","g__Didymella",0.0339546729473053,0.0756600958696901
"55","g__Geotrichum",0.0338211048337664,0.107168215299296
"81","g__Mucor",0.0261213822620281,0.0616911076641162
