"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.0145406382473546,0.0771938722238729
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",6.89863230392907e-05,0.000228235578673609
"4","g__Alternaria",0.00733580761315152,0.0157577542569258
"5","g__Apiotrichum",0.0113241307201431,0.0279375485182671
"6","g__Aspergillus",0.0494659908053325,0.0648218222145359
"7","g__Aureobasidium",0.0639972732700871,0.182500297006639
"8","g__Bisifusarium",0.00040898608109006,0.00200778859939149
"9","g__Bjerkandera",3.27581096631444e-05,0.000176407819306218
"10","g__Botryotrichum",0,0
"11","g__Bullera",0.000111498068438506,0.000314304266743835
"12","g__Cadophora",0.000145785166399941,0.000642361025728885
"13","g__Candida",0.043286940005139,0.130848157875234
"14","g__Capnodiales_gen_Incertae_sedis",3.94649623653026e-05,0.000129152548546768
"15","g__Cephaloascus",0.00215135912140759,0.00711404960443685
"16","g__Ceratocystidaceae_gen_Incertae_sedis",4.55076042297348e-05,0.000186282802707059
"17","g__Chaetomium",0.0156696192435786,0.0743087677666237
"18","g__Chaetothyriales_gen_Incertae_sedis",0.00984598533606158,0.0522336897236431
"19","g__Chordomyces",0.0133116647609643,0.0676433555200759
"20","g__Citeromyces",6.42058949397631e-05,0.000345759325840187
"21","g__Cladosporium",0.0698617340361877,0.153345843490806
"22","g__Clavispora",0.00167543993348847,0.00696897156209479
"23","g__Cleistothelebolus",1.54552955575996e-05,8.32293137206478e-05
"24","g__Clonostachys",0.000154503150631855,0.000832024929374065
"25","g__Coniochaeta",0.00525269269087144,0.010076092263912
"26","g__Coniosporium",0.00147477049773421,0.00430418815612701
"27","g__Coniothyrium",0.00104297234782763,0.00373957753771259
"28","g__Cosmospora",2.64155053414473e-05,0.000122466287466055
"29","g__Cryptococcus",0.0127164473697519,0.0473056711479691
"30","g__Curvibasidium",0.00035971218900896,0.00187440928983071
"31","g__Curvularia",9.86246428630371e-05,0.000491319258335896
"32","g__Cutaneotrichosporon",0.0504450099163578,0.168388959230679
"33","g__Cyberlindnera",0.000870853716288333,0.00305593005099652
"34","g__Cyphellophora",0.000449438268620734,0.0013002664770107
