"","OTUID","mean_abundance","sd_abundance"
"41","g__Didymella",0.0948484099624451,0.203413283445421
"97","g__Penicillium",0.0803648019135783,0.163347515954019
"21","g__Cladosporium",0.0698617340361877,0.153345843490806
"7","g__Aureobasidium",0.0639972732700871,0.182500297006639
"145","g__Vishniacozyma",0.055884586465783,0.150339431423423
"32","g__Cutaneotrichosporon",0.0504450099163578,0.168388959230679
"6","g__Aspergillus",0.0494659908053325,0.0648218222145359
"13","g__Candida",0.043286940005139,0.130848157875234
"52","g__Fusarium",0.0386553463673372,0.115098634941894
"39","g__Debaryomyces",0.0373227266720636,0.150789982056537
