"","OTUID","mean_abundance","sd_abundance"
"149","g__Yarrowia",0.178793804049275,0.3835423296644
"52","g__Fusarium",0.167145059290628,0.314865419724518
"41","g__Didymella",0.0638617219723891,0.207093843156921
"51","g__Fungi_gen_Incertae_sedis",0.0539398551831216,0.182407038904988
"13","g__Candida",0.0496574307091007,0.19778574688887
"48","g__Exophiala",0.0425326936380749,0.148376238594428
"19","g__Chordomyces",0.0252464689113437,0.15759258232141
"119","g__Sarocladium",0.0252148823921706,0.153080756090893
"115","g__Rhizopus",0.022697334525776,0.113704933294638
"5","g__Apiotrichum",0.0179293377771089,0.102350255147738
