"","OTUID","mean_abundance","sd_abundance"
"41","g__Didymella",0.279159087405579,0.385871228183019
"52","g__Fusarium",0.0965510777787646,0.240224282546615
"19","g__Chordomyces",0.0946866875183602,0.253129702255193
"39","g__Debaryomyces",0.0900379628694041,0.240792914053161
"48","g__Exophiala",0.070872699801109,0.139257097596127
"21","g__Cladosporium",0.0671280156281763,0.162383081687605
"119","g__Sarocladium",0.0578792607619442,0.213862911532905
"51","g__Fungi_gen_Incertae_sedis",0.0476996080210352,0.208485484285111
"145","g__Vishniacozyma",0.0458051519292471,0.150884351870662
"35","g__Cystobasidium",0.0275393765896888,0.0844609948647768
