"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0,0
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",9.46283339114533e-06,4.33641503036791e-05
"4","g__Alternaria",0.00274516156323889,0.00695720750032736
"5","g__Apiotrichum",0.00972296900810376,0.0211452027382469
"6","g__Aspergillus",0.109985653824397,0.20791145110042
"7","g__Aureobasidium",0.0151562425201621,0.0320830968641264
"8","g__Bisifusarium",1.25924514936346e-05,4.68410427944528e-05
"9","g__Bjerkandera",8.31150744567088e-05,0.000380881120089759
"10","g__Botryotrichum",0,0
"11","g__Bullera",0,0
"12","g__Cadophora",0,0
"13","g__Candida",0.0946489654241774,0.20976940450242
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.00169794877389766,0.00272108754554422
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000281231127132952,0.000735070125089561
"17","g__Chaetomium",0.00371833315718696,0.0115803529988472
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0,0
"20","g__Citeromyces",0,0
"21","g__Cladosporium",0.0586565290847873,0.124079799956912
"22","g__Clavispora",8.93867734666324e-05,0.000256226886739951
"23","g__Cleistothelebolus",0,0
"24","g__Clonostachys",0,0
"25","g__Coniochaeta",0.00292375121480086,0.008951741196745
"26","g__Coniosporium",0.00011265169574939,0.000516234922936714
"27","g__Coniothyrium",0.000148657593878673,0.000681234676579023
"28","g__Cosmospora",0.00019523536657143,0.000529580715030765
"29","g__Cryptococcus",0.00121337089560392,0.0046939943253613
"30","g__Curvibasidium",0.00151547576701908,0.00559562133948459
"31","g__Curvularia",0.000136168211360374,0.000624001135805657
"32","g__Cutaneotrichosporon",0.00435422779566418,0.00810229839735282
"33","g__Cyberlindnera",0.00203047279775969,0.0055828367379045
"34","g__Cyphellophora",0.00407155690576241,0.0126004475684572
"35","g__Cystobasidium",0.0289770554156742,0.0942807118124995
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.0305829154327582,0.0614873248310178
"38","g__Cytospora",3.48954747775888e-05,0.000159911154579723
"39","g__Debaryomyces",0.040254451661345,0.17258419751716
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.000831184984548267,0.00309039953434922
"41","g__Didymella",0.10898674796784,0.259009499499914
"42","g__Dioszegia",0.0118631782831427,0.0535419376476178
"43","g__Diplodia",0,0
"44","g__Dipodascus",0,0
"45","g__Diutina",5.50206908752778e-05,0.000161733086693443
"46","g__Effuseotrichosporon",0,0
"47","g__Eucasphaeria",2.26517124179776e-05,0.000103803186775754
"48","g__Exophiala",0.01417981275124,0.0505935116962438
"49","g__Filobasidium",0.0089798370378093,0.0176919082746862
"50","g__Fomitopsis",0,0
"51","g__Fungi_gen_Incertae_sedis",0.00260903572211061,0.00592747684003954
"52","g__Fusarium",0.0133376677052442,0.0270293872465644
"53","g__Fusicolla",0.000742983905996052,0.00203166768949969
"54","g__Galactomyces",0.000260598662175084,0.00105056912028819
"55","g__Geotrichum",0.0029290824776378,0.00541326937652757
"56","g__Gibberella",0,0
"57","g__Gibellulopsis",0,0
"58","g__Hannaella",0.00132139446020599,0.00525029271394011
"59","g__Hanseniaspora",0,0
"60","g__Hormonema",0,0
"61","g__Huntiella",0,0
"62","g__Hyphopichia",6.12917289702874e-05,0.00028087398748106
"63","g__Inopinatum",0,0
"64","g__Iodophanus",7.89425485014376e-05,0.000306509060105086
"65","g__Irpex",0,0
"66","g__Issatchenkia",6.6492037421134e-05,0.000280923446371838
"67","g__Kazachstania",0.00156592837530224,0.00567514841955753
"68","g__Kluyveromyces",0,0
"69","g__Knufia",5.88272693695518e-05,0.000250074307656257
"70","g__Kurtzmaniella",3.64126693331361e-05,0.000166863813474493
"71","g__Kwoniella",7.31032537125642e-05,0.000335001193685387
"72","g__Lasiobolidium",0.000348644290077917,0.00156280666730347
"73","g__Lecanicillium",6.95741797825397e-05,0.000223803266272806
"74","g__Leptographium",1.09731090489101e-05,3.46764017863748e-05
"75","g__Leucosporidium",0.00983376248117536,0.0299172138075632
"76","g__Malassezia",5.26270219797307e-05,0.000187987646892846
"77","g__Meyerozyma",0.0157772202808158,0.0679489671715541
"78","g__Microascus",1.0485537785089e-05,3.44878065457998e-05
"79","g__Mortierella",0,0
"80","g__Mrakia",0.000542367104402806,0.00156019700514236
"81","g__Mucor",0.052439359749148,0.156785469120328
"82","g__Naganishia",0.0181772875365032,0.0264923412515367
"83","g__Nakazawaea",0,0
"84","g__Neoascochyta",3.65516268562821e-05,0.000167500596842693
"85","g__Neocucurbitaria",2.5699046179901e-06,1.17767824407562e-05
"86","g__Neophaeotheca",0.00275610116549077,0.0124017543136559
"87","g__Neopyrenochaeta",0,0
"88","g__Neosetophoma",7.20163940438181e-05,0.000229112213495642
"89","g__Nigrospora",0,0
"90","g__Oidiodendron",0.000439727932303231,0.00120611428932314
"91","g__Ophiostoma",0.00326274579912235,0.00579729537333426
"92","g__Orbilia",0,0
"93","g__Paecilomyces",0.00270884947726388,0.00408350121709125
"94","g__Papiliotrema",0.00251279689643798,0.00875329907621293
"95","g__Paraphoma",0.00243563632699504,0.0084575562493229
"96","g__Parapyrenochaeta",0,0
"97","g__Penicillium",0.0721328589054984,0.0909998530252817
"98","g__Periconia",0.00163648076344655,0.0074393919056798
"99","g__Petriella",2.98590754600614e-05,0.00013683147347713
"100","g__Phaeococcomyces",6.25449480304057e-05,0.000217939142024841
"101","g__Phaeoisaria",1.28665354280053e-05,5.89618725306653e-05
"102","g__Phanerochaete",0.000536263991956693,0.00236253373800618
"103","g__Phialemonium",0.000283867692985826,0.00109219355482487
"104","g__Pichia",0.00122505553465466,0.00300913736189749
"105","g__Piskurozyma",0.00172305358139434,0.00351565014399379
"106","g__Plectosphaerella",0,0
"107","g__Pleurostoma",0.000762530639899738,0.00277561423178707
"108","g__Preussia",0.00017678786382497,0.000793708087906124
"109","g__Proceropycnis",0.000108625921183841,0.000230774466519981
"110","g__Pseudogymnoascus",0.000650078916053195,0.00171725338325166
"111","g__Pseudopithomyces",0.0011851083268871,0.00379846911919783
"112","g__Pseudotremella",4.32441782525028e-05,0.000198169720208257
"113","g__Pyrenochaetopsis",0,0
"114","g__Ramularia",0,0
"115","g__Rhizopus",0.0386761068132145,0.0709762225169107
"116","g__Rhodosporidiobolus",0.00707507264650464,0.0125820394229034
"117","g__Rhodotorula",0.00889317207972163,0.0217983665873965
"118","g__Rozellomycota_gen_Incertae_sedis",0.0279314210934532,0.0918352700285553
"119","g__Sarocladium",0.000299384457839958,0.00090945744537695
"120","g__Scopulariopsis",1.11976282288844e-05,4.43834799894e-05
"121","g__Sistotrema",2.63355016819508e-05,8.08719678305113e-05
"122","g__Spermospora",0.00282523614166473,0.0123025083755892
"123","g__Spissiomyces",2.32329538835682e-05,0.00010646676978887
"124","g__Spizellomycetales_gen_Incertae_sedis",2.21907812438504e-05,7.00885232850946e-05
"125","g__Sporidiobolus",0.00411153765755254,0.0101939554437791
"126","g__Sporobolomyces",0,0
"127","g__Stachybotrys",1.82373819077711e-05,8.35741830701791e-05
"128","g__Stagonosporopsis",0,0
"129","g__Starmerella",0.00111168275084425,0.00413252244146229
"130","g__Symmetrospora",0.0012010666178881,0.00285570463453632
"131","g__Syncephalastrum",7.5021957393331e-05,0.000343793798538691
