"","OTUID","mean_abundance","sd_abundance"
"6","g__Aspergillus",0.109985653824397,0.20791145110042
"41","g__Didymella",0.10898674796784,0.259009499499914
"13","g__Candida",0.0946489654241774,0.20976940450242
"97","g__Penicillium",0.0721328589054984,0.0909998530252817
"21","g__Cladosporium",0.0586565290847873,0.124079799956912
"81","g__Mucor",0.052439359749148,0.156785469120328
"145","g__Vishniacozyma",0.0455625810772778,0.166309668137234
"140","g__Trichoderma",0.0433854058982475,0.0965493711933792
"39","g__Debaryomyces",0.040254451661345,0.17258419751716
"115","g__Rhizopus",0.0386761068132145,0.0709762225169107
