"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.00037614682424135,0.00135628834462507
"2","g__Acrophialophora",0.000160080637097771,0.000745872705733563
"3","g__Akanthomyces",3.38357364515921e-05,0.00015620746540262
"4","g__Alternaria",0.0170454757248371,0.087259236793595
"5","g__Apiotrichum",0.0167456136419473,0.110094935681042
"6","g__Aspergillus",0.0690734955980983,0.138192882096086
"7","g__Aureobasidium",0.0191736416348212,0.0437636037518607
"8","g__Bisifusarium",2.93724322028602e-05,0.000157238896932402
"9","g__Bjerkandera",2.10985881786677e-05,0.000123365456818653
"10","g__Botryotrichum",1.14250137196443e-05,9.21114053856194e-05
"11","g__Bullera",6.02297377055792e-05,0.000220968523163528
"12","g__Cadophora",0.000108936096491876,0.000526945639210608
"13","g__Candida",0.00731105085637511,0.0113416041588181
"14","g__Capnodiales_gen_Incertae_sedis",4.53017948948652e-06,3.65234746902959e-05
"15","g__Cephaloascus",0.00281387470380413,0.00782077775042205
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000127395261814372,0.000453663388632326
"17","g__Chaetomium",0.00735657033182781,0.0497290928208265
"18","g__Chaetothyriales_gen_Incertae_sedis",0.00433758037933614,0.0349053560534275
"19","g__Chordomyces",0.00024226625345156,0.00131991452569884
"20","g__Citeromyces",6.81658781319708e-05,0.000390586463642216
"21","g__Cladosporium",0.0808019375580563,0.160968579847423
"22","g__Clavispora",0.000130922989872563,0.000354917616856936
"23","g__Cleistothelebolus",1.9545335088538e-05,0.000109588371952481
"24","g__Clonostachys",0.00073324919921879,0.0048516886144193
"25","g__Coniochaeta",0.00432939515157507,0.00932069623833809
"26","g__Coniosporium",0.000430447549009828,0.0025116279951299
"27","g__Coniothyrium",0.000499552254858689,0.00253391167651141
"28","g__Cosmospora",9.92457107721406e-05,0.000486968728158951
"29","g__Cryptococcus",0.00538698192977147,0.0313796642030287
"30","g__Curvibasidium",0.000967069496450428,0.00369221895059867
"31","g__Curvularia",8.79945704860911e-05,0.000479497700158869
"32","g__Cutaneotrichosporon",0.00134744619224487,0.00402046047082446
"33","g__Cyberlindnera",0.000441290921009798,0.00208154325022613
"34","g__Cyphellophora",0.00018945393181484,0.00074308947447085
"35","g__Cystobasidium",0.0153896588214799,0.0580506549254618
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",9.7531298709729e-06,5.52737848853225e-05
"37","g__Cystofilobasidium",0.0307847464224193,0.0735990697670447
"38","g__Cytospora",9.69983399526423e-05,0.000677943158168958
"39","g__Debaryomyces",0.0380770160214818,0.145322547601779
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.00051523360383675,0.0024043808357396
"41","g__Didymella",0.014442192983688,0.0625393341610346
"42","g__Dioszegia",0.00552217241198917,0.0312271058760317
"43","g__Diplodia",9.18302489209484e-05,0.000740359135891101
"44","g__Dipodascus",2.43212869497063e-05,0.000148046225923646
"45","g__Diutina",5.08531687472917e-05,0.000255069277152139
"46","g__Effuseotrichosporon",3.02383080743296e-05,0.000172962269860711
"47","g__Eucasphaeria",0.000358471498544616,0.00263985618946198
"48","g__Exophiala",0.0254435520971766,0.0772668184071989
"49","g__Filobasidium",0.0101876741890647,0.0197493053720322
"50","g__Fomitopsis",2.11627467842271e-05,0.000170619519236415
"51","g__Fungi_gen_Incertae_sedis",0.00842384432232883,0.0501998228533192
"52","g__Fusarium",0.0295527836793357,0.104777269029173
"53","g__Fusicolla",0.00273557967104586,0.01634704943981
"54","g__Galactomyces",5.66812039303674e-05,0.000315812122941062
"55","g__Geotrichum",0.00495827883776559,0.0142455753750686
"56","g__Gibberella",7.5993619254127e-05,0.000493204278230322
