"","OTUID","mean_abundance","sd_abundance"
"97","g__Penicillium",0.0937430547326958,0.165813248010673
"21","g__Cladosporium",0.0808019375580563,0.160968579847423
"6","g__Aspergillus",0.0690734955980983,0.138192882096086
"145","g__Vishniacozyma",0.0575430291061951,0.149872427066615
"149","g__Yarrowia",0.0485204466510395,0.210964711580741
"115","g__Rhizopus",0.041248233287043,0.10310078310148
"39","g__Debaryomyces",0.0380770160214818,0.145322547601779
"140","g__Trichoderma",0.0376283825606027,0.0756502530599924
"82","g__Naganishia",0.0356458885678787,0.0729339717571589
"37","g__Cystofilobasidium",0.0307847464224193,0.0735990697670447
