sample.id,Location.Sample.Date,compre_keep,Season,Facility,Object,Room,RoomType,Risk,Soil,Touch,Material,YM,Moisture,Continuity,Area,samples,Mat_cat,Freq_cat
sample-1,B.01.2,no,Fall,Facility2,Drain,Batch,Raw,3,Yes,No,Stainless Steel,55400,Wet,Perforated,Production,sample-1,Stainless Steel,Weekly
sample-284,B.03A.1,no,Summer,Facility2,Hose,Batch,Raw,2,Yes,Yes,"Plastic, Metal",5350,Dry,Continuous,Production,sample-284,"Plastic, Metal",None
sample-285,B.03B.1,no,Summer,Facility2,Hose,Batch,Raw,3,Yes,Yes,"Plastic, Metal",16200,Dry,Continuous,Production,sample-285,"Plastic, Metal",None
sample-33,B.04.2,yes,Fall,Facility2,Cleaning Tools,Batch,Raw,2,Yes,No,"Rubber, Plastic",1250,Dry,Continuous,Production,sample-33,Plastic,None
sample-35,B.04.3,yes,Winter,Facility2,Cleaning Tools,Batch,Raw,2,Yes,No,"Rubber, Plastic",0,Dry,Continuous,Production,sample-35,Plastic,None
sample-34,B.04.4,yes,Spring,Facility2,Cleaning Tools,Batch,Raw,2,Yes,No,"Rubber, Plastic",0,Dry,Continuous,Production,sample-34,Plastic,None
sample-286,B.04A.1,yes,Summer,Facility2,Cleaning Tools,Batch,Raw,2,Yes,No,"Rubber, Plastic",0,Dry,Continuous,Production,sample-286,Plastic,None
sample-287,B.04B.1,yes,Summer,Facility2,Cleaning Tools,Batch,Raw,2,Yes,No,"Rubber, Plastic",0,Dry,Continuous,Production,sample-287,Plastic,None
sample-36,B.05.2,no,Fall,Facility2,Door,Batch,Raw,3,Yes,No,"Tarp, Sealed Stone",0,Dry,Continuous,Production,sample-36,"Tarp, Sealed Stone",Weekly
sample-288,B.05A.1,no,Summer,Facility2,Door,Batch,Raw,3,Yes,No,"Tarp, Sealed Stone",0,Dry,Continuous,Production,sample-288,"Tarp, Sealed Stone",Weekly
sample-289,B.05B.1,no,Summer,Facility2,Door,Batch,Raw,3,Yes,No,"Tarp, Sealed Stone",0,Dry,Continuous,Production,sample-289,"Tarp, Sealed Stone",Weekly
sample-37,B.06.2,no,Fall,Facility2,Floor Object,Batch,Raw,3,None,No,Rubber,0,Dry,Spiked,Production,sample-37,Rubber,As needed
sample-38,B.07.2,no,Fall,Facility2,Drain,HTST,Raw,3,Yes,No,Stainless Steel,0,Wet,Perforated,Production,sample-38,Stainless Steel,As needed
sample-39,B.07.4,no,Spring,Facility2,Drain,HTST,Raw,3,None,No,Stainless Steel,0,Wet,Perforated,Production,sample-39,Stainless Steel,As needed
sample-290,B.07A.1,no,Summer,Facility2,Drain,HTST,Raw,3,None,No,Stainless Steel,0,Wet,Perforated,Production,sample-290,Stainless Steel,As needed
sample-291,B.08A.1,no,Summer,Facility2,Floor Object,HTST,Raw,3,Yes,No,Metal,0,Dry,Continuous,Production,sample-291,Metal,None
sample-252,B.10B.1,no,Summer,Facility2,Cleaning Tools,HTST,Raw,3,Yes,No,Plastic,0,Dry,Continuous,Production,sample-252,Plastic,None
sample-2,B.12.3,no,Winter,Facility2,Door,HTST,Raw,3,Yes,No,"Rubber, Metal",0,Wet,Continuous,Production,sample-2,"Rubber, Metal",Weekly
sample-3,B.13.2,no,Fall,Facility2,Floor Object,Fermentation Room,Post-Pasteurization ,3,Yes,No,"Rubber, Metal",6500000,Dry,Continuous,Production,sample-3,"Rubber, Metal",None
sample-253,B.13A.1,no,Summer,Facility2,Floor Object,Fermentation Room,Post-Pasteurization ,3,Yes,No,"Rubber, Metal",1050,Dry,Continuous,Production,sample-253,"Rubber, Metal",None
sample-254,B.13B.1,no,Summer,Facility2,Floor Object,Fermentation Room,Post-Pasteurization ,3,Yes,No,"Rubber, Metal",100000,Dry,Continuous,Production,sample-254,"Rubber, Metal",None
sample-255,B.14B.1,no,Summer,Facility2,FPE Structure,Fermentation Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,0,Dry,Continuous,Production,sample-255,Stainless Steel,Weekly
sample-4,B.15.2,no,Fall,Facility2,Conveyor,Filling,Filling,3,Yes,No,Stainless Steel,10400,Dry,Continuous,Production,sample-4,Stainless Steel,Weekly
sample-5,B.15.4,no,Spring,Facility2,Conveyor,Filling,Filling,2,Yes,No,Stainless Steel,3360000,Dry,Continuous,Production,sample-5,Stainless Steel,Weekly
sample-256,B.15A.1,no,Summer,Facility2,Conveyor,Filling,Filling,2,Yes,No,Stainless Steel,770000,Dry,Continuous,Production,sample-256,Stainless Steel,Weekly
sample-257,B.15B.1,no,Summer,Facility2,Conveyor,Filling,Filling,2,Yes,No,Stainless Steel,35000,Dry,Continuous,Production,sample-257,Stainless Steel,Weekly
sample-6,B.16.2,no,Fall,Facility2,Wall/Ceiling,Filling,Filling,3,Yes,No,"Painted Metal, Sealed Stone, Caulk",3150,Damp,Continuous,Production,sample-6,Metal,Weekly
sample-7,B.16.4,no,Spring,Facility2,Wall/Ceiling,Filling,Filling,3,Yes,No,"Painted Metal, Sealed Stone, Caulk",1200,Wet,Continuous,Production,sample-7,"Painted Metal, Sealed Stone, Caulk",Weekly
sample-258,B.16A.1,no,Summer,Facility2,Wall/Ceiling,Filling,Filling,3,Yes,No,"Painted Metal, Sealed Stone, Caulk",1400,Damp,Continuous,Production,sample-258,"Painted Metal, Sealed Stone, Caulk",Weekly
sample-259,B.16B.1,no,Summer,Facility2,Wall/Ceiling,Filling,Filling,3,Yes,No,"Painted Metal, Sealed Stone, Caulk",700,Damp,Continuous,Production,sample-259,"Painted Metal, Sealed Stone, Caulk",Weekly
sample-8,B.17.2,yes,Fall,Facility2,Conveyor,Filling,Filling,2,Yes,No,Rubber,2050,Dry,Continuous,Production,sample-8,Rubber,Weekly
sample-10,B.17.3,yes,Winter,Facility2,Conveyor,Filling,Filling,2,Yes,No,Rubber,132000,Damp,Continuous,Production,sample-10,Rubber,Weekly
sample-9,B.17.4,yes,Spring,Facility2,Conveyor,Filling,Filling,2,Yes,No,Rubber,1480000,Dry,Continuous,Production,sample-9,Rubber,Weekly
sample-260,B.17A.1,yes,Summer,Facility2,Conveyor,Filling,Filling,2,Yes,No,Rubber,50000,Dry,Continuous,Production,sample-260,Rubber,Weekly
