"","Genus","mean","sum_total"
"1","g__Penicillium",4.34782608695652,100
"2","g__Aspergillus",2.5,50
"3","g__Candida",4.55555555555556,41
"4","g__Fusarium",5.14285714285714,36
"5","g__Cladosporium",6.8,34
"6","g__Vishniacozyma",2.77777777777778,25
"7","g__Ramularia",2,22
"8","g__Cutaneotrichosporon",4,20
"9","g__Alternaria",3.16666666666667,19
"10","g__Geotrichum",9.5,19
"11","g__Wickerhamiella",3.16666666666667,19
"12","g__Aureobasidium",4.25,17
"13","g__Didymella",5.66666666666667,17
"14","g__Exophiala",3.4,17
"15","g__Trichoderma",2.42857142857143,17
"16","g__Apiotrichum",3.2,16
"17","g__Talaromyces",1.77777777777778,16
"18","g__Yarrowia",15,15
"19","g__Naganishia",4.66666666666667,14
"20","g__Fusicolla",4.33333333333333,13
"21","g__Cosmospora",4,12
"22","g__Filobasidium",12,12
"23","g__Papiliotrema",6,12
"24","g__Rhodotorula",2.4,12
"25","g__Cryptococcus",5.5,11
"26","g__Knufia",2.75,11
"27","g__Trichosporon",11,11
"28","g__Phialocephala",1.66666666666667,10
"29","g__Sarocladium",3.33333333333333,10
"30","g__Bisifusarium",4.5,9
"31","g__Issatchenkia",3,9
"32","g__Malassezia",2.25,9
"33","g__Mucor",3,9
"34","g__Trichaptum",2.25,9
"35","g__Chaetomium",2.66666666666667,8
"36","g__Diutina",4,8
"37","g__Paecilomyces",2,8
"38","g__Peniophora",2.66666666666667,8
"39","g__Cystofilobasidium",3.5,7
"40","g__Rhizopus",7,7
"41","g__Trametes",3.5,7
"42","g__Cyberlindnera",6,6
"43","g__Irpex",6,6
"44","g__Pseudopithomyces",6,6
"45","g__Taphrina",2,6
"46","g__Verrucocladosporium",6,6
"47","g__Botryobasidium",2.5,5
"48","g__Coniochaeta",1.66666666666667,5
"49","g__Coprinellus",1.66666666666667,5
"50","g__Neocucurbitaria",2.5,5
"51","g__Parastagonospora",1.25,5
"52","g__Pichia",1.25,5
"53","g__Venturiocistella",2.5,5
"54","g__Dictyosporiaceae_gen_Incertae_sedis",4,4
"55","g__Exidia",1.33333333333333,4
"56","g__Fungi_gen_Incertae_sedis",1,4
"57","g__Leptospora",1,4
"58","g__Lithohypha",2,4
"59","g__Meyerozyma",4,4
"60","g__Rhodosporidiobolus",2,4
"61","g__Sphaerulina",1.33333333333333,4
"62","g__Symmetrospora",1,4
"63","g__Zalaria",2,4
"64","g__Apenidiella",1,3
"65","g__Bjerkandera",1.5,3
"66","g__Clavispora",3,3
"67","g__Coniosporium",1,3
"68","g__Constantinomyces",1.5,3
"69","g__Cystobasidium",1.5,3
"70","g__Debaryomyces",3,3
"71","g__Diatrype",1,3
"72","g__Dichotomopilus",1.5,3
"73","g__Hyphodermella",3,3
"74","g__Mollisia",1,3
"75","g__Myrmecridium",1,3
"76","g__Neodevriesia",3,3
"77","g__Neosetophoma",1,3
"78","g__Ophiostoma",1.5,3
"79","g__Periconia",1,3
"80","g__Sidera",3,3
"81","g__Sistotremastrum",3,3
"82","g__Sporobolomyces",1.5,3
"83","g__Tausonia",3,3
"84","g__Thelebolus",3,3
"85","g__Toxicocladosporium",3,3
"86","g__Venturia",1.5,3
"87","g__Zymoseptoria",1.5,3
"88","g__Acarospora",1,2
"89","g__Achroceratosphaeria",1,2
"90","g__Acremonium",1,2
"91","g__Arthrocatena",1,2
"92","g__Botrytis",2,2
"93","g__Buckleyzyma",2,2
"94","g__Cadophora",1,2
"95","g__Ceriporia",1,2
"96","g__Chordomyces",2,2
"97","g__Clonostachys",2,2
"98","g__Cyphellophora",1,2
"99","g__Daedaleopsis",2,2
"100","g__Dioszegia",1,2
"101","g__Gibellulopsis",2,2
"102","g__Glarea",1,2
"103","g__Hantamomyces",2,2
"104","g__Hyphodontia",2,2
"105","g__Kazachstania",1,2
"106","g__Kluyveromyces",2,2
"107","g__Kwoniella",1,2
"108","g__Lophodermium",1,2
"109","g__Oidiodendron",2,2
"110","g__Paraophiobolus",1,2
"111","g__Peniophorella",1,2
"112","g__Phlebia",2,2
"113","g__Phomatosporaceae_gen_Incertae_sedis",1,2
"114","g__Piskurozyma",2,2
"115","g__Rhytisma",2,2
"116","g__Sclerencoelia",2,2
"117","g__Skvortzovia",2,2
"118","g__Sordariomycetes_gen_Incertae_sedis",1,2
"119","g__Sporendocladia",1,2
"120","g__Sporidiobolus",2,2
"121","g__Tricellula",2,2
"122","g__Tubulicrinis",2,2
"123","g__Vanrija",2,2
"124","g__Xeromyces",2,2
"125","g__Acaulium",1,1
"126","g__Agrocybe",1,1
"127","g__Amandinea",1,1
"128","g__Amyloporia",1,1
"129","g__Arxiella",1,1
"130","g__Ascosphaera",1,1
"131","g__Athelia",1,1
"132","g__Basidiodendron",1,1
"133","g__Bensingtonia",1,1
"134","g__Bulleribasidium",1,1
"135","g__Candelariella",1,1
"136","g__Catinella",1,1
"137","g__Cephaloascus",1,1
"138","g__Cephalotrichum",1,1
"139","g__Ceratobasidiaceae_gen_Incertae_sedis",1,1
"140","g__Ceratocystis",1,1
"141","g__Chaetospermum",1,1
"142","g__Cinereomyces",1,1
"143","g__Crocicreas",1,1
"144","g__Crustodontia",1,1
"145","g__Cryptosphaeria",1,1
"146","g__Curvibasidium",1,1
"147","g__Cytospora",1,1
"148","g__Distoseptisporaceae_gen_Incertae_sedis",1,1
"149","g__Effuseotrichosporon",1,1
"150","g__Elmerina",1,1
