"","Genus","Site","Abundance","Site_Room"
"1","Aspergillus","Raw-FloorA",0,"Raw-FloorA"
"2","Aspergillus","Raw-FloorA.1",0,"Raw-FloorA"
"3","Aspergillus","Raw-FloorB",0.0640820249919897,"Raw-FloorB"
"4","Aspergillus","Raw-FloorB.1",0.0452391541044948,"Raw-FloorB"
"5","Aspergillus","Raw-WallA",0.899332276583687,"Raw-WallA"
"6","Aspergillus","Raw-WallA.1",0.187074203645737,"Raw-WallA"
"7","Aspergillus","Raw-WallB",0.0508927801259381,"Raw-WallB"
"8","Aspergillus","Raw-WallB.1",0.286342338173194,"Raw-WallB"
"9","Aspergillus","Ware-DoorA",9.16811385488585,"Ware-DoorA"
"10","Aspergillus","Ware-DoorA.1",9.89610003468838,"Ware-DoorA"
"11","Aspergillus","Ware-FanA",6.44968437340648,"Ware-FanA"
"12","Aspergillus","Ware-FanA.1",4.48912518124698,"Ware-FanA"
"13","Aspergillus","Ware-FloorA",16.1738847281016,"Ware-FloorA"
"14","Aspergillus","Ware-FloorA.1",50.5893574981263,"Ware-FloorA"
"15","Aspergillus","Ware-FloorB",2.59978203528501,"Ware-FloorB"
"16","Aspergillus","Ware-FloorB.1",3.05753537857659,"Ware-FloorB"
"17","Candida","Raw-FloorA",3.88580559803433,"Raw-FloorA"
"18","Candida","Raw-FloorA.1",8.21558977615495,"Raw-FloorA"
"19","Candida","Raw-FloorB",0.337273815747314,"Raw-FloorB"
"20","Candida","Raw-FloorB.1",0.171755432532319,"Raw-FloorB"
"21","Candida","Raw-WallA",0.353162446512315,"Raw-WallA"
"22","Candida","Raw-WallA.1",0.0589210090222795,"Raw-WallA"
"23","Candida","Raw-WallB",0.0465798326576382,"Raw-WallB"
"24","Candida","Raw-WallB.1",7.93515358361775,"Raw-WallB"
"25","Candida","Ware-DoorA",0.254140370197806,"Ware-DoorA"
"26","Candida","Ware-DoorA.1",0.655775615718793,"Ware-DoorA"
"27","Candida","Ware-FanA",3.12637372298711,"Ware-FanA"
"28","Candida","Ware-FanA.1",1.5621072982117,"Ware-FanA"
"29","Candida","Ware-FloorA",23.7023770758711,"Ware-FloorA"
"30","Candida","Ware-FloorA.1",3.46801117394563,"Ware-FloorA"
"31","Candida","Ware-FloorB",3.13679655047147,"Ware-FloorB"
"32","Candida","Ware-FloorB.1",6.70385290775746,"Ware-FloorB"
"33","Cladosporium","Raw-FloorA",0,"Raw-FloorA"
"34","Cladosporium","Raw-FloorA.1",0,"Raw-FloorA"
"35","Cladosporium","Raw-FloorB",0.0860048230155652,"Raw-FloorB"
"36","Cladosporium","Raw-FloorB.1",0.0889447775613796,"Raw-FloorB"
"37","Cladosporium","Raw-WallA",0.298134809497606,"Raw-WallA"
"38","Cladosporium","Raw-WallA.1",0.179709077517953,"Raw-WallA"
"39","Cladosporium","Raw-WallB",0.0163892003795394,"Raw-WallB"
"40","Cladosporium","Raw-WallB.1",1.45629663909296,"Raw-WallB"
"41","Cladosporium","Ware-DoorA",10.3350417213774,"Ware-DoorA"
"42","Cladosporium","Ware-DoorA.1",10.9103222715935,"Ware-DoorA"
"43","Cladosporium","Ware-FanA",7.30952506549911,"Ware-FanA"
"44","Cladosporium","Ware-FanA.1",4.11793136781054,"Ware-FanA"
