"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"60e963dba5db57043967a6f95c443af4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__"
"884e783abddf50bda4d48ecabd768c1f","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__"
"0a1f60c99334a37028d9c46f4132b360","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__Cutaneotrichosporon_jirovecii"
"5e5a04489c0340b0a36d683ba8ba52c8","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Yarrowia","s__Yarrowia_lipolytica"
"9b3bab98ad1ea732e8b6384bce7b565a","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__Filobasidium_magnum"
"301fb052937340235e7a792b2c9c9387","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__Geotrichum_candidum"
"be7075418a8e255e57e7ac27babf6c29","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__Neocucurbitaria_irregularis"
"9652e29e523a25b480d1a91ee9f6940a","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"4e3b7722c820e6fcca74d922224dd157","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__Aspergillus_ruber"
"3f11638f83a3e9af2e9a0968720f84b4","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","s__Cosmospora_sp"
"8470f68664f96b7288ef26b2a5829d31","k__Fungi","p__","c__","o__","f__","g__","s__"
"c3519270e269b92d3577ed450032bbc4","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"d078395ab6f6d24d7badc1956a41ab6b","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","s__Cosmospora_sp"
"bb9723a71a5d016633d9608d15ef44be","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Meyerozyma","s__Meyerozyma_guilliermondii"
"9e6789c57c188c6dad562f830b264821","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_intermedia"
"7a07425bec9422aac20121f94389a5c9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__"
"bbdbc2d0d450aa4faee9a7dd415b948a","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala_castellanii"
"63751ed3b5b8b418e0c58774c1749e62","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Diutina","s__Diutina_catenulata"
"f9ab18cdec959f4dfe53c3a9950c8b22","k__Fungi","p__","c__","o__","f__","g__","s__"
"acd90ebebd5cdca0a466d698bec37810","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__"
"362ab12a72b98172fbaae60868d2eeda","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__"
"129a88fa49d08cc3a6108dea5b7354e3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia_albida"
"443daea92367cc673972deb545b48cb5","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_mori"
"6ae5e5ed6c4287578ecbbc094565a29b","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__Mucor_circinelloides"
"eafdb72dc014495e39971cad1f3a6ded","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"0235f2f2b34ed74f06e622925bb322c0","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__Papiliotrema_fonsecae"
"2cb59fc7d02c10bcaf6f745dbe12db23","k__Fungi","p__","c__","o__","f__","g__","s__"
"8c707734e4bd5cfc2f816d96dbd5cbaa","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_parapsilosis"
"ed3f25f1e707f0b6bd67b721a7306361","k__Fungi","p__","c__","o__","f__","g__","s__"
"ff9257fba628fd38c0472e17431cf29e","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__Nigrospora_oryzae"
"712b0208b622f352146df8dd3104ea08","k__Fungi","p__","c__","o__","f__","g__","s__"
"dcd2e5356d34114198ffe4c67a24078d","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Bisifusarium","s__"
"c1fef5cda8f8211d1201a7544f2c4278","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__"
"496e1a1b295e9d00e5fadc66ce61c873","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__Vishniacozyma_victoriae"
"f3af4ec7cb1c66005945581b45175f0e","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__Kazachstania_unispora"
"4e340178a529bcf6a1393455406b85c2","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Apiotrichum","s__Apiotrichum_domesticum"
"887857297d6bf35ecb8b016bfe779500","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_tonkinense"
"5d3b922a6aa194ac206e6d65c4985a67","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__Penicillium_brevicompactum"
"2679fa92637945c107dae1a2c67b4454","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"13c34d1e5d9c6534fbc54f791411cce2","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusicolla","s__"
"b47367fa4b4560c1a008c957f8043e41","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__Aureobasidium_pullulans"
"5fea09177226c9fcf06d1adf484bee94","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusicolla","s__Fusicolla_acetilerea"
"51d12d97dac869f396741a5990d48017","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__"
"40b8041f63ebf63740c27f545393e351","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Sidera","s__Sidera_vulgaris"
"270883e6ac07e2968629a6de7ce390aa","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Rhizopodaceae","g__Rhizopus","s__Rhizopus_arrhizus"
"85354de9f6603dca46430c3dd2ce69aa","k__Fungi","p__","c__","o__","f__","g__","s__"
"fecfdc657c4f300818bd2ee31a81f2bc","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__Irpex_hydnoides"
"d47fea0b184ab948c298d06f1554e21b","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Verrucocladosporium","s__"
